sample_index,timestamp_ms,timestamp_utc,container_id,container_name,cpu_percent,mem_percent,mem_usage_raw,mem_used_bytes,mem_limit_bytes,net_io_raw,block_io_raw,pids
0,1776940950596,2026-04-23T10:42:30.596050+00:00,2553add0eb44,docker-auth-1,72.53,9.22,722.9MiB / 7.653GiB,758015590,8217346179,22.2MB / 16.3MB,0B / 27.6MB,115
0,1776940950596,2026-04-23T10:42:30.596050+00:00,9f919b0315c7,docker-registry-1,1.06,5.03,394.3MiB / 7.653GiB,413453516,8217346179,12.1MB / 7.97MB,0B / 12.7MB,56
0,1776940950596,2026-04-23T10:42:30.596050+00:00,047bb8dbb031,docker-recommender-1,1.51,7.32,573.5MiB / 7.653GiB,601358336,8217346179,5.3MB / 4.59MB,0B / 27.6MB,136
0,1776940950596,2026-04-23T10:42:30.596050+00:00,9caace330afe,docker-persistence-1,5.78,11.83,927MiB / 7.653GiB,972029952,8217346179,50.9MB / 49.3MB,0B / 38.3MB,65
0,1776940950596,2026-04-23T10:42:30.596050+00:00,24025f462381,docker-webui-1,44.30,15.97,1.222GiB / 7.653GiB,1312112508,8217346179,672MB / 785MB,0B / 34.3MB,226
0,1776940950596,2026-04-23T10:42:30.596050+00:00,eaf29550fd31,docker-image-1,43.98,10.04,786.9MiB / 7.653GiB,825124454,8217346179,18.1MB / 585MB,0B / 64.2MB,143
0,1776940950596,2026-04-23T10:42:30.596050+00:00,b3ec606673dd,docker-db-1,0.05,1.41,110.8MiB / 7.653GiB,116182220,8217346179,5.59MB / 17.1MB,10.6MB / 145MB,39
1,1776940957655,2026-04-23T10:42:37.655846+00:00,2553add0eb44,docker-auth-1,18.35,9.26,725.6MiB / 7.653GiB,760846745,8217346179,22.5MB / 16.5MB,0B / 27.6MB,125
1,1776940957655,2026-04-23T10:42:37.655846+00:00,9f919b0315c7,docker-registry-1,1.16,5.03,394.4MiB / 7.653GiB,413558374,8217346179,12.1MB / 7.98MB,0B / 12.7MB,56
1,1776940957655,2026-04-23T10:42:37.655846+00:00,047bb8dbb031,docker-recommender-1,1.12,7.32,574MiB / 7.653GiB,601882624,8217346179,5.3MB / 4.59MB,0B / 27.6MB,136
1,1776940957655,2026-04-23T10:42:37.655846+00:00,9caace330afe,docker-persistence-1,6.22,11.84,927.8MiB / 7.653GiB,972868812,8217346179,51.1MB / 49.5MB,0B / 38.3MB,65
1,1776940957655,2026-04-23T10:42:37.655846+00:00,24025f462381,docker-webui-1,20.89,16.20,1.24GiB / 7.653GiB,1331439861,8217346179,673MB / 787MB,0B / 34.3MB,226
1,1776940957655,2026-04-23T10:42:37.655846+00:00,eaf29550fd31,docker-image-1,14.04,10.04,786.9MiB / 7.653GiB,825124454,8217346179,18.2MB / 586MB,0B / 64.2MB,143
1,1776940957655,2026-04-23T10:42:37.655846+00:00,b3ec606673dd,docker-db-1,0.48,1.41,110.8MiB / 7.653GiB,116182220,8217346179,5.63MB / 17.2MB,10.6MB / 145MB,40
2,1776940964736,2026-04-23T10:42:44.736688+00:00,2553add0eb44,docker-auth-1,19.96,9.26,725.4MiB / 7.653GiB,760637030,8217346179,22.8MB / 16.6MB,0B / 27.6MB,125
