sample_index,timestamp_ms,timestamp_utc,container_id,container_name,cpu_percent,mem_percent,mem_usage_raw,mem_used_bytes,mem_limit_bytes,net_io_raw,block_io_raw,pids
0,1776940950596,2026-04-23T10:42:30.596050+00:00,2553add0eb44,docker-auth-1,72.53,9.22,722.9MiB / 7.653GiB,758015590,8217346179,22.2MB / 16.3MB,0B / 27.6MB,115
1,1776940957655,2026-04-23T10:42:37.655846+00:00,2553add0eb44,docker-auth-1,18.35,9.26,725.6MiB / 7.653GiB,760846745,8217346179,22.5MB / 16.5MB,0B / 27.6MB,125
2,1776940964736,2026-04-23T10:42:44.736688+00:00,2553add0eb44,docker-auth-1,19.96,9.26,725.4MiB / 7.653GiB,760637030,8217346179,22.8MB / 16.6MB,0B / 27.6MB,125
3,1776940971805,2026-04-23T10:42:51.805884+00:00,2553add0eb44,docker-auth-1,11.22,9.26,725.6MiB / 7.653GiB,760846745,8217346179,23.1MB / 16.8MB,0B / 27.6MB,125
4,1776940978867,2026-04-23T10:42:58.867823+00:00,2553add0eb44,docker-auth-1,29.12,9.26,725.5MiB / 7.653GiB,760741888,8217346179,23.5MB / 17MB,0B / 27.6MB,125
5,1776940985937,2026-04-23T10:43:05.937538+00:00,2553add0eb44,docker-auth-1,17.25,9.26,725.5MiB / 7.653GiB,760741888,8217346179,23.9MB / 17.3MB,0B / 27.6MB,125
6,1776940993090,2026-04-23T10:43:13.090180+00:00,2553add0eb44,docker-auth-1,16.87,9.26,725.5MiB / 7.653GiB,760741888,8217346179,24.1MB / 17.5MB,0B / 27.6MB,125
7,1776941000178,2026-04-23T10:43:20.178985+00:00,2553add0eb44,docker-auth-1,25.24,9.26,725.6MiB / 7.653GiB,760846745,8217346179,24.4MB / 17.6MB,0B / 27.6MB,125
8,1776941007245,2026-04-23T10:43:27.245874+00:00,2553add0eb44,docker-auth-1,38.64,9.29,728MiB / 7.653GiB,763363328,8217346179,24.7MB / 17.8MB,0B / 27.6MB,125
9,1776941014302,2026-04-23T10:43:34.302919+00:00,2553add0eb44,docker-auth-1,38.62,9.28,727.6MiB / 7.653GiB,762943897,8217346179,25.1MB / 18MB,0B / 27.6MB,122
10,1776941021929,2026-04-23T10:43:41.929769+00:00,2553add0eb44,docker-auth-1,33.89,9.29,728.3MiB / 7.653GiB,763677900,8217346179,25.5MB / 18.3MB,0B / 27.6MB,122
11,1776941029036,2026-04-23T10:43:49.036539+00:00,2553add0eb44,docker-auth-1,36.69,9.29,728.3MiB / 7.653GiB,763677900,8217346179,25.8MB / 18.5MB,0B / 27.6MB,122
12,1776941036117,2026-04-23T10:43:56.117133+00:00,2553add0eb44,docker-auth-1,14.82,9.29,728.2MiB / 7.653GiB,763573043,8217346179,26.1MB / 18.7MB,0B / 27.6MB,121
13,1776941043183,2026-04-23T10:44:03.183313+00:00,2553add0eb44,docker-auth-1,12.81,9.29,728.2MiB / 7.653GiB,763573043,8217346179,26.5MB / 18.9MB,0B / 27.6MB,121
14,1776941050243,2026-04-23T10:44:10.243079+00:00,2553add0eb44,docker-auth-1,15.24,9.29,728.4MiB / 7.653GiB,763782758,8217346179,26.8MB / 19.1MB,0B / 27.6MB,121
15,1776941057297,2026-04-23T10:44:17.297263+00:00,2553add0eb44,docker-auth-1,26.83,9.30,728.6MiB / 7.653GiB,763992473,8217346179,27.2MB / 19.3MB,0B / 27.6MB,121
16,1776941064362,2026-04-23T10:44:24.362086+00:00,2553add0eb44,docker-auth-1,19.87,9.29,728.4MiB / 7.653GiB,763782758,8217346179,27.6MB / 19.6MB,0B / 27.6MB,121
17,1776941071411,2026-04-23T10:44:31.411384+00:00,2553add0eb44,docker-auth-1,38.01,9.30,728.9MiB / 7.653GiB,764307046,8217346179,28.1MB / 19.9MB,0B / 27.6MB,121
18,1776941078474,2026-04-23T10:44:38.474533+00:00,2553add0eb44,docker-auth-1,22.14,9.30,728.7MiB / 7.653GiB,764097331,8217346179,28.4MB / 20.1MB,0B / 27.6MB,121
19,1776941085528,2026-04-23T10:44:45.529002+00:00,2553add0eb44,docker-auth-1,30.85,9.29,728.4MiB / 7.653GiB,763782758,8217346179,28.9MB / 20.4MB,0B / 27.6MB,121
20,1776941092593,2026-04-23T10:44:52.593870+00:00,2553add0eb44,docker-auth-1,13.78,9.29,728.3MiB / 7.653GiB,763677900,8217346179,29.4MB / 20.8MB,0B / 27.6MB,119
21,1776941099649,2026-04-23T10:44:59.649112+00:00,2553add0eb44,docker-auth-1,38.55,9.30,728.6MiB / 7.653GiB,763992473,8217346179,29.7MB / 20.9MB,0B / 27.6MB,119
22,1776941106705,2026-04-23T10:45:06.705267+00:00,2553add0eb44,docker-auth-1,24.50,9.30,728.6MiB / 7.653GiB,763992473,8217346179,30MB / 21.1MB,0B / 27.6MB,119
23,1776941113756,2026-04-23T10:45:13.756706+00:00,2553add0eb44,docker-auth-1,30.64,9.30,728.6MiB / 7.653GiB,763992473,8217346179,30.4MB / 21.3MB,0B / 27.6MB,119
24,1776941120827,2026-04-23T10:45:20.827841+00:00,2553add0eb44,docker-auth-1,37.94,9.32,730.4MiB / 7.653GiB,765879910,8217346179,31.1MB / 21.8MB,0B / 27.7MB,119
