sample_index,timestamp_ms,timestamp_utc,container_id,container_name,cpu_percent,mem_percent,mem_usage_raw,mem_used_bytes,mem_limit_bytes,net_io_raw,block_io_raw,pids
0,1776940950596,2026-04-23T10:42:30.596050+00:00,b3ec606673dd,docker-db-1,0.05,1.41,110.8MiB / 7.653GiB,116182220,8217346179,5.59MB / 17.1MB,10.6MB / 145MB,39
1,1776940957655,2026-04-23T10:42:37.655846+00:00,b3ec606673dd,docker-db-1,0.48,1.41,110.8MiB / 7.653GiB,116182220,8217346179,5.63MB / 17.2MB,10.6MB / 145MB,40
2,1776940964736,2026-04-23T10:42:44.736688+00:00,b3ec606673dd,docker-db-1,0.36,1.41,110.8MiB / 7.653GiB,116182220,8217346179,5.68MB / 17.3MB,10.6MB / 145MB,40
3,1776940971805,2026-04-23T10:42:51.805884+00:00,b3ec606673dd,docker-db-1,0.19,1.41,110.8MiB / 7.653GiB,116182220,8217346179,5.73MB / 17.5MB,10.6MB / 145MB,40
4,1776940978867,2026-04-23T10:42:58.867823+00:00,b3ec606673dd,docker-db-1,0.42,1.41,110.8MiB / 7.653GiB,116182220,8217346179,5.77MB / 17.6MB,10.6MB / 145MB,40
5,1776940985937,2026-04-23T10:43:05.937538+00:00,b3ec606673dd,docker-db-1,0.53,1.41,110.8MiB / 7.653GiB,116182220,8217346179,5.86MB / 17.9MB,10.6MB / 145MB,40
6,1776940993090,2026-04-23T10:43:13.090180+00:00,b3ec606673dd,docker-db-1,0.29,1.41,110.8MiB / 7.653GiB,116182220,8217346179,5.89MB / 17.9MB,10.6MB / 145MB,40
7,1776941000178,2026-04-23T10:43:20.178985+00:00,b3ec606673dd,docker-db-1,0.36,1.41,110.8MiB / 7.653GiB,116182220,8217346179,5.94MB / 18.1MB,10.6MB / 145MB,40
8,1776941007245,2026-04-23T10:43:27.245874+00:00,b3ec606673dd,docker-db-1,0.43,1.41,110.8MiB / 7.653GiB,116182220,8217346179,5.98MB / 18.2MB,10.6MB / 145MB,40
9,1776941014302,2026-04-23T10:43:34.302919+00:00,b3ec606673dd,docker-db-1,0.37,1.41,110.8MiB / 7.653GiB,116182220,8217346179,6.02MB / 18.3MB,10.6MB / 145MB,40
10,1776941021929,2026-04-23T10:43:41.929769+00:00,b3ec606673dd,docker-db-1,6.89,1.41,110.8MiB / 7.653GiB,116182220,8217346179,6.1MB / 18.5MB,10.6MB / 145MB,40
11,1776941029036,2026-04-23T10:43:49.036539+00:00,b3ec606673dd,docker-db-1,0.54,1.41,110.8MiB / 7.653GiB,116182220,8217346179,6.14MB / 18.6MB,10.6MB / 145MB,40
12,1776941036117,2026-04-23T10:43:56.117133+00:00,b3ec606673dd,docker-db-1,0.31,1.41,110.8MiB / 7.653GiB,116182220,8217346179,6.21MB / 18.8MB,10.6MB / 145MB,40
13,1776941043183,2026-04-23T10:44:03.183313+00:00,b3ec606673dd,docker-db-1,0.32,1.41,110.8MiB / 7.653GiB,116182220,8217346179,6.25MB / 19MB,10.6MB / 145MB,40
14,1776941050243,2026-04-23T10:44:10.243079+00:00,b3ec606673dd,docker-db-1,0.40,1.41,110.8MiB / 7.653GiB,116182220,8217346179,6.29MB / 19.1MB,10.6MB / 145MB,40
15,1776941057297,2026-04-23T10:44:17.297263+00:00,b3ec606673dd,docker-db-1,0.65,1.41,110.8MiB / 7.653GiB,116182220,8217346179,6.35MB / 19.2MB,10.6MB / 145MB,40
16,1776941064362,2026-04-23T10:44:24.362086+00:00,b3ec606673dd,docker-db-1,0.49,1.41,110.8MiB / 7.653GiB,116182220,8217346179,6.42MB / 19.4MB,10.6MB / 145MB,40
17,1776941071411,2026-04-23T10:44:31.411384+00:00,b3ec606673dd,docker-db-1,0.48,1.41,110.8MiB / 7.653GiB,116182220,8217346179,6.48MB / 19.6MB,10.6MB / 145MB,40
18,1776941078474,2026-04-23T10:44:38.474533+00:00,b3ec606673dd,docker-db-1,0.39,1.41,110.8MiB / 7.653GiB,116182220,8217346179,6.55MB / 19.8MB,10.6MB / 145MB,40
19,1776941085528,2026-04-23T10:44:45.529002+00:00,b3ec606673dd,docker-db-1,0.50,1.41,110.8MiB / 7.653GiB,116182220,8217346179,6.63MB / 20MB,10.6MB / 145MB,40
20,1776941092593,2026-04-23T10:44:52.593870+00:00,b3ec606673dd,docker-db-1,0.31,1.41,110.8MiB / 7.653GiB,116182220,8217346179,6.7MB / 20.2MB,10.6MB / 145MB,40
21,1776941099649,2026-04-23T10:44:59.649112+00:00,b3ec606673dd,docker-db-1,0.44,1.41,110.8MiB / 7.653GiB,116182220,8217346179,6.75MB / 20.4MB,10.6MB / 145MB,40
22,1776941106705,2026-04-23T10:45:06.705267+00:00,b3ec606673dd,docker-db-1,0.35,1.41,110.8MiB / 7.653GiB,116182220,8217346179,6.78MB / 20.5MB,10.6MB / 145MB,40
23,1776941113756,2026-04-23T10:45:13.756706+00:00,b3ec606673dd,docker-db-1,0.50,1.41,110.8MiB / 7.653GiB,116182220,8217346179,6.84MB / 20.6MB,10.6MB / 145MB,40
24,1776941120827,2026-04-23T10:45:20.827841+00:00,b3ec606673dd,docker-db-1,0.64,1.41,110.8MiB / 7.653GiB,116182220,8217346179,6.96MB / 21MB,10.6MB / 145MB,40
25,1776941127920,2026-04-23T10:45:27.920322+00:00,b3ec606673dd,docker-db-1,0.33,1.41,110.8MiB / 7.653GiB,116182220,8217346179,7MB / 21.1MB,10.6MB / 145MB,40
26,1776941134971,2026-04-23T10:45:34.971473+00:00,b3ec606673dd,docker-db-1,0.37,1.41,110.8MiB / 7.653GiB,116182220,8217346179,7.04MB / 21.2MB,10.6MB / 145MB,40
27,1776941142024,2026-04-23T10:45:42.024037+00:00,b3ec606673dd,docker-db-1,0.38,1.41,110.8MiB / 7.653GiB,116182220,8217346179,7.07MB / 21.3MB,10.6MB / 145MB,40
28,1776941149085,2026-04-23T10:45:49.085851+00:00,b3ec606673dd,docker-db-1,0.34,1.41,110.8MiB / 7.653GiB,116182220,8217346179,7.11MB / 21.4MB,10.6MB / 145MB,40
29,1776941156155,2026-04-23T10:45:56.155324+00:00,b3ec606673dd,docker-db-1,0.27,1.41,110.8MiB / 7.653GiB,116182220,8217346179,7.13MB / 21.5MB,10.6MB / 145MB,40
30,1776941163220,2026-04-23T10:46:03.220180+00:00,b3ec606673dd,docker-db-1,0.31,1.41,110.8MiB / 7.653GiB,116182220,8217346179,7.18MB / 21.6MB,10.6MB / 145MB,40
31,1776941170274,2026-04-23T10:46:10.274817+00:00,b3ec606673dd,docker-db-1,0.42,1.41,110.8MiB / 7.653GiB,116182220,8217346179,7.25MB / 21.8MB,10.6MB / 145MB,40
32,1776941177326,2026-04-23T10:46:17.326192+00:00,b3ec606673dd,docker-db-1,0.40,1.41,110.8MiB / 7.653GiB,116182220,8217346179,7.29MB / 21.9MB,10.6MB / 145MB,40
33,1776941184388,2026-04-23T10:46:24.388617+00:00,b3ec606673dd,docker-db-1,0.35,1.41,110.8MiB / 7.653GiB,116182220,8217346179,7.35MB / 22.1MB,10.6MB / 145MB,40
34,1776941191450,2026-04-23T10:46:31.450412+00:00,b3ec606673dd,docker-db-1,0.36,1.41,110.8MiB / 7.653GiB,116182220,8217346179,7.39MB / 22.2MB,10.6MB / 145MB,40
35,1776941198503,2026-04-23T10:46:38.503451+00:00,b3ec606673dd,docker-db-1,0.46,1.41,110.8MiB / 7.653GiB,116182220,8217346179,7.45MB / 22.4MB,10.6MB / 145MB,40
36,1776941205559,2026-04-23T10:46:45.559047+00:00,b3ec606673dd,docker-db-1,0.47,1.41,110.8MiB / 7.653GiB,116182220,8217346179,7.54MB / 22.6MB,10.6MB / 145MB,40
37,1776941212624,2026-04-23T10:46:52.624422+00:00,b3ec606673dd,docker-db-1,0.34,1.41,110.8MiB / 7.653GiB,116182220,8217346179,7.58MB / 22.7MB,10.6MB / 145MB,40
38,1776941219699,2026-04-23T10:46:59.699684+00:00,b3ec606673dd,docker-db-1,0.31,1.41,110.8MiB / 7.653GiB,116182220,8217346179,7.61MB / 22.8MB,10.6MB / 145MB,40
39,1776941226759,2026-04-23T10:47:06.759571+00:00,b3ec606673dd,docker-db-1,0.30,1.41,110.8MiB / 7.653GiB,116182220,8217346179,7.64MB / 22.9MB,10.6MB / 145MB,40
40,1776941233829,2026-04-23T10:47:13.829081+00:00,b3ec606673dd,docker-db-1,0.29,1.41,110.8MiB / 7.653GiB,116182220,8217346179,7.69MB / 23MB,10.6MB / 145MB,40
41,1776941240900,2026-04-23T10:47:20.900110+00:00,b3ec606673dd,docker-db-1,0.34,1.41,110.8MiB / 7.653GiB,116182220,8217346179,7.74MB / 23.2MB,10.6MB / 145MB,40
42,1776941247956,2026-04-23T10:47:27.956284+00:00,b3ec606673dd,docker-db-1,0.43,1.41,110.8MiB / 7.653GiB,116182220,8217346179,7.79MB / 23.3MB,10.6MB / 145MB,40
43,1776941255040,2026-04-23T10:47:35.040846+00:00,b3ec606673dd,docker-db-1,0.11,1.41,110.8MiB / 7.653GiB,116182220,8217346179,7.79MB / 23.3MB,10.6MB / 145MB,40
44,1776941262100,2026-04-23T10:47:42.100811+00:00,b3ec606673dd,docker-db-1,0.16,1.41,110.8MiB / 7.653GiB,116182220,8217346179,7.79MB / 23.3MB,10.6MB / 145MB,40
45,1776941269143,2026-04-23T10:47:49.143107+00:00,b3ec606673dd,docker-db-1,0.38,1.41,110.8MiB / 7.653GiB,116182220,8217346179,7.83MB / 23.4MB,10.6MB / 145MB,40
46,1776941276200,2026-04-23T10:47:56.200030+00:00,b3ec606673dd,docker-db-1,0.36,1.41,110.8MiB / 7.653GiB,116182220,8217346179,7.87MB / 23.6MB,10.6MB / 145MB,40
47,1776941283255,2026-04-23T10:48:03.255370+00:00,b3ec606673dd,docker-db-1,0.40,1.41,110.8MiB / 7.653GiB,116182220,8217346179,7.95MB / 23.8MB,10.6MB / 145MB,40
48,1776941290320,2026-04-23T10:48:10.320005+00:00,b3ec606673dd,docker-db-1,0.39,1.41,110.8MiB / 7.653GiB,116182220,8217346179,7.99MB / 23.9MB,10.6MB / 145MB,40
49,1776941297365,2026-04-23T10:48:17.365242+00:00,b3ec606673dd,docker-db-1,0.33,1.41,110.8MiB / 7.653GiB,116182220,8217346179,8.05MB / 24.1MB,10.6MB / 145MB,40
50,1776941304423,2026-04-23T10:48:24.423442+00:00,b3ec606673dd,docker-db-1,0.31,1.41,110.8MiB / 7.653GiB,116182220,8217346179,8.1MB / 24.2MB,10.6MB / 145MB,40
51,1776941311488,2026-04-23T10:48:31.488175+00:00,b3ec606673dd,docker-db-1,0.29,1.41,110.8MiB / 7.653GiB,116182220,8217346179,8.14MB / 24.3MB,10.6MB / 145MB,40
52,1776941318540,2026-04-23T10:48:38.540382+00:00,b3ec606673dd,docker-db-1,0.35,1.41,110.8MiB / 7.653GiB,116182220,8217346179,8.17MB / 24.4MB,10.6MB / 145MB,40
53,1776941325596,2026-04-23T10:48:45.596559+00:00,b3ec606673dd,docker-db-1,0.35,1.41,110.8MiB / 7.653GiB,116182220,8217346179,8.23MB / 24.6MB,10.6MB / 145MB,40
54,1776941332649,2026-04-23T10:48:52.649225+00:00,b3ec606673dd,docker-db-1,0.36,1.41,110.8MiB / 7.653GiB,116182220,8217346179,8.28MB / 24.7MB,10.6MB / 145MB,40
55,1776941339702,2026-04-23T10:48:59.702593+00:00,b3ec606673dd,docker-db-1,0.69,1.41,110.8MiB / 7.653GiB,116182220,8217346179,8.35MB / 24.9MB,10.6MB / 145MB,40
56,1776941346762,2026-04-23T10:49:06.762824+00:00,b3ec606673dd,docker-db-1,0.50,1.41,110.8MiB / 7.653GiB,116182220,8217346179,8.41MB / 25.1MB,10.6MB / 145MB,40
57,1776941353812,2026-04-23T10:49:13.812495+00:00,b3ec606673dd,docker-db-1,0.34,1.41,110.8MiB / 7.653GiB,116182220,8217346179,8.45MB / 25.2MB,10.6MB / 145MB,40
58,1776941360867,2026-04-23T10:49:20.867713+00:00,b3ec606673dd,docker-db-1,0.34,1.41,110.8MiB / 7.653GiB,116182220,8217346179,8.51MB / 25.4MB,10.6MB / 145MB,40
59,1776941367935,2026-04-23T10:49:27.935547+00:00,b3ec606673dd,docker-db-1,0.40,1.41,110.8MiB / 7.653GiB,116182220,8217346179,8.56MB / 25.5MB,10.6MB / 145MB,40
60,1776941374987,2026-04-23T10:49:34.987347+00:00,b3ec606673dd,docker-db-1,0.43,1.41,110.8MiB / 7.653GiB,116182220,8217346179,8.6MB / 25.6MB,10.6MB / 145MB,40
61,1776941382041,2026-04-23T10:49:42.041512+00:00,b3ec606673dd,docker-db-1,0.64,1.41,110.8MiB / 7.653GiB,116182220,8217346179,8.67MB / 25.8MB,10.6MB / 145MB,40
62,1776941389087,2026-04-23T10:49:49.087660+00:00,b3ec606673dd,docker-db-1,0.68,1.41,110.8MiB / 7.653GiB,116182220,8217346179,8.77MB / 26.2MB,10.6MB / 145MB,40
63,1776941396132,2026-04-23T10:49:56.132270+00:00,b3ec606673dd,docker-db-1,0.72,1.41,110.8MiB / 7.653GiB,116182220,8217346179,8.88MB / 26.5MB,10.6MB / 145MB,40
64,1776941403192,2026-04-23T10:50:03.192637+00:00,b3ec606673dd,docker-db-1,0.25,1.41,110.8MiB / 7.653GiB,116182220,8217346179,8.96MB / 26.7MB,10.6MB / 145MB,40
65,1776941410271,2026-04-23T10:50:10.271496+00:00,b3ec606673dd,docker-db-1,0.38,1.41,110.8MiB / 7.653GiB,116182220,8217346179,9.01MB / 26.8MB,10.6MB / 145MB,40
66,1776941417334,2026-04-23T10:50:17.334539+00:00,b3ec606673dd,docker-db-1,0.38,1.41,110.8MiB / 7.653GiB,116182220,8217346179,9.06MB / 27MB,10.6MB / 145MB,40
67,1776941424389,2026-04-23T10:50:24.389969+00:00,b3ec606673dd,docker-db-1,0.36,1.41,110.8MiB / 7.653GiB,116182220,8217346179,9.12MB / 27.1MB,10.6MB / 145MB,40
68,1776941431447,2026-04-23T10:50:31.447284+00:00,b3ec606673dd,docker-db-1,0.24,1.41,110.8MiB / 7.653GiB,116182220,8217346179,9.15MB / 27.3MB,10.6MB / 145MB,40
69,1776941438502,2026-04-23T10:50:38.502625+00:00,b3ec606673dd,docker-db-1,0.37,1.41,110.8MiB / 7.653GiB,116182220,8217346179,9.2MB / 27.4MB,10.6MB / 145MB,40
70,1776941445564,2026-04-23T10:50:45.564568+00:00,b3ec606673dd,docker-db-1,0.44,1.41,110.8MiB / 7.653GiB,116182220,8217346179,9.25MB / 27.5MB,10.6MB / 145MB,40
71,1776941452635,2026-04-23T10:50:52.635297+00:00,b3ec606673dd,docker-db-1,0.21,1.41,110.8MiB / 7.653GiB,116182220,8217346179,9.3MB / 27.7MB,10.6MB / 145MB,40
72,1776941459697,2026-04-23T10:50:59.697830+00:00,b3ec606673dd,docker-db-1,0.56,1.41,110.8MiB / 7.653GiB,116182220,8217346179,9.35MB / 27.8MB,10.6MB / 145MB,40
73,1776941466763,2026-04-23T10:51:06.763563+00:00,b3ec606673dd,docker-db-1,0.39,1.41,110.8MiB / 7.653GiB,116182220,8217346179,9.42MB / 28MB,10.6MB / 145MB,40
74,1776941473824,2026-04-23T10:51:13.824028+00:00,b3ec606673dd,docker-db-1,0.34,1.41,110.8MiB / 7.653GiB,116182220,8217346179,9.47MB / 28.2MB,10.6MB / 145MB,40
