sample_index,timestamp_ms,timestamp_utc,container_id,container_name,cpu_percent,mem_percent,mem_usage_raw,mem_used_bytes,mem_limit_bytes,net_io_raw,block_io_raw,pids
0,1776940950596,2026-04-23T10:42:30.596050+00:00,eaf29550fd31,docker-image-1,43.98,10.04,786.9MiB / 7.653GiB,825124454,8217346179,18.1MB / 585MB,0B / 64.2MB,143
1,1776940957655,2026-04-23T10:42:37.655846+00:00,eaf29550fd31,docker-image-1,14.04,10.04,786.9MiB / 7.653GiB,825124454,8217346179,18.2MB / 586MB,0B / 64.2MB,143
2,1776940964736,2026-04-23T10:42:44.736688+00:00,eaf29550fd31,docker-image-1,4.37,10.04,786.9MiB / 7.653GiB,825124454,8217346179,18.3MB / 587MB,0B / 64.2MB,143
3,1776940971805,2026-04-23T10:42:51.805884+00:00,eaf29550fd31,docker-image-1,2.74,10.04,786.7MiB / 7.653GiB,824914739,8217346179,18.4MB / 588MB,0B / 64.2MB,143
4,1776940978867,2026-04-23T10:42:58.867823+00:00,eaf29550fd31,docker-image-1,8.97,10.04,786.7MiB / 7.653GiB,824914739,8217346179,18.6MB / 589MB,0B / 64.2MB,143
5,1776940985937,2026-04-23T10:43:05.937538+00:00,eaf29550fd31,docker-image-1,6.82,10.04,786.9MiB / 7.653GiB,825124454,8217346179,18.7MB / 590MB,0B / 64.2MB,143
6,1776940993090,2026-04-23T10:43:13.090180+00:00,eaf29550fd31,docker-image-1,4.06,10.04,786.9MiB / 7.653GiB,825124454,8217346179,18.8MB / 591MB,0B / 64.2MB,143
7,1776941000178,2026-04-23T10:43:20.178985+00:00,eaf29550fd31,docker-image-1,4.29,10.04,786.7MiB / 7.653GiB,824914739,8217346179,18.9MB / 592MB,0B / 64.2MB,143
8,1776941007245,2026-04-23T10:43:27.245874+00:00,eaf29550fd31,docker-image-1,4.52,10.04,786.7MiB / 7.653GiB,824914739,8217346179,19MB / 593MB,0B / 64.2MB,143
9,1776941014302,2026-04-23T10:43:34.302919+00:00,eaf29550fd31,docker-image-1,3.50,10.04,786.7MiB / 7.653GiB,824914739,8217346179,19.1MB / 594MB,0B / 64.2MB,143
10,1776941021929,2026-04-23T10:43:41.929769+00:00,eaf29550fd31,docker-image-1,47.77,10.04,786.7MiB / 7.653GiB,824914739,8217346179,19.3MB / 595MB,0B / 64.2MB,143
11,1776941029036,2026-04-23T10:43:49.036539+00:00,eaf29550fd31,docker-image-1,5.32,10.04,786.7MiB / 7.653GiB,824914739,8217346179,19.4MB / 596MB,0B / 64.2MB,143
12,1776941036117,2026-04-23T10:43:56.117133+00:00,eaf29550fd31,docker-image-1,3.87,10.04,786.7MiB / 7.653GiB,824914739,8217346179,19.5MB / 597MB,0B / 64.2MB,143
13,1776941043183,2026-04-23T10:44:03.183313+00:00,eaf29550fd31,docker-image-1,9.18,10.04,786.7MiB / 7.653GiB,824914739,8217346179,19.6MB / 598MB,0B / 64.2MB,143
14,1776941050243,2026-04-23T10:44:10.243079+00:00,eaf29550fd31,docker-image-1,6.71,10.04,786.7MiB / 7.653GiB,824914739,8217346179,19.8MB / 599MB,0B / 64.2MB,143
15,1776941057297,2026-04-23T10:44:17.297263+00:00,eaf29550fd31,docker-image-1,6.29,10.04,787MiB / 7.653GiB,825229312,8217346179,19.9MB / 600MB,0B / 64.2MB,143
16,1776941064362,2026-04-23T10:44:24.362086+00:00,eaf29550fd31,docker-image-1,4.09,10.05,787.4MiB / 7.653GiB,825648742,8217346179,20.1MB / 602MB,0B / 64.2MB,143
17,1776941071411,2026-04-23T10:44:31.411384+00:00,eaf29550fd31,docker-image-1,6.58,10.05,787.4MiB / 7.653GiB,825648742,8217346179,20.2MB / 603MB,0B / 64.2MB,143
18,1776941078474,2026-04-23T10:44:38.474533+00:00,eaf29550fd31,docker-image-1,5.27,10.05,787.6MiB / 7.653GiB,825858457,8217346179,20.4MB / 604MB,0B / 64.2MB,143
19,1776941085528,2026-04-23T10:44:45.529002+00:00,eaf29550fd31,docker-image-1,5.37,10.05,787.9MiB / 7.653GiB,826173030,8217346179,20.5MB / 606MB,0B / 64.2MB,143
20,1776941092593,2026-04-23T10:44:52.593870+00:00,eaf29550fd31,docker-image-1,3.33,10.06,788.1MiB / 7.653GiB,826382745,8217346179,20.7MB / 608MB,0B / 64.2MB,143
21,1776941099649,2026-04-23T10:44:59.649112+00:00,eaf29550fd31,docker-image-1,8.07,10.06,788.3MiB / 7.653GiB,826592460,8217346179,20.8MB / 608MB,0B / 64.2MB,143
22,1776941106705,2026-04-23T10:45:06.705267+00:00,eaf29550fd31,docker-image-1,3.78,10.06,788.7MiB / 7.653GiB,827011891,8217346179,20.9MB / 609MB,0B / 64.2MB,143
23,1776941113756,2026-04-23T10:45:13.756706+00:00,eaf29550fd31,docker-image-1,8.82,10.07,789MiB / 7.653GiB,827326464,8217346179,21.1MB / 611MB,0B / 64.2MB,143
24,1776941120827,2026-04-23T10:45:20.827841+00:00,eaf29550fd31,docker-image-1,6.30,10.05,787.6MiB / 7.653GiB,825858457,8217346179,21.3MB / 613MB,0B / 64.2MB,143
25,1776941127920,2026-04-23T10:45:27.920322+00:00,eaf29550fd31,docker-image-1,6.11,10.05,787.6MiB / 7.653GiB,825858457,8217346179,21.4MB / 614MB,0B / 64.2MB,143
26,1776941134971,2026-04-23T10:45:34.971473+00:00,eaf29550fd31,docker-image-1,5.11,10.05,787.6MiB / 7.653GiB,825858457,8217346179,21.5MB / 614MB,0B / 64.3MB,143
27,1776941142024,2026-04-23T10:45:42.024037+00:00,eaf29550fd31,docker-image-1,4.35,10.05,787.6MiB / 7.653GiB,825858457,8217346179,21.6MB / 615MB,0B / 64.3MB,143
28,1776941149085,2026-04-23T10:45:49.085851+00:00,eaf29550fd31,docker-image-1,3.48,10.05,787.6MiB / 7.653GiB,825858457,8217346179,21.7MB / 616MB,0B / 64.3MB,143
29,1776941156155,2026-04-23T10:45:56.155324+00:00,eaf29550fd31,docker-image-1,6.32,10.05,787.6MiB / 7.653GiB,825858457,8217346179,21.8MB / 616MB,0B / 64.3MB,143
