sample_index,timestamp_ms,timestamp_utc,container_id,container_name,cpu_percent,mem_percent,mem_usage_raw,mem_used_bytes,mem_limit_bytes,net_io_raw,block_io_raw,pids
0,1776940950596,2026-04-23T10:42:30.596050+00:00,9caace330afe,docker-persistence-1,5.78,11.83,927MiB / 7.653GiB,972029952,8217346179,50.9MB / 49.3MB,0B / 38.3MB,65
1,1776940957655,2026-04-23T10:42:37.655846+00:00,9caace330afe,docker-persistence-1,6.22,11.84,927.8MiB / 7.653GiB,972868812,8217346179,51.1MB / 49.5MB,0B / 38.3MB,65
2,1776940964736,2026-04-23T10:42:44.736688+00:00,9caace330afe,docker-persistence-1,6.07,11.84,927.8MiB / 7.653GiB,972868812,8217346179,51.4MB / 49.7MB,0B / 38.3MB,65
3,1776940971805,2026-04-23T10:42:51.805884+00:00,9caace330afe,docker-persistence-1,2.34,11.84,928MiB / 7.653GiB,973078528,8217346179,51.6MB / 49.8MB,0B / 38.3MB,65
4,1776940978867,2026-04-23T10:42:58.867823+00:00,9caace330afe,docker-persistence-1,7.74,11.84,928.1MiB / 7.653GiB,973183385,8217346179,51.9MB / 50.1MB,0B / 38.3MB,65
5,1776940985937,2026-04-23T10:43:05.937538+00:00,9caace330afe,docker-persistence-1,6.07,11.85,928.4MiB / 7.653GiB,973497958,8217346179,52.3MB / 50.4MB,0B / 38.3MB,65
6,1776940993090,2026-04-23T10:43:13.090180+00:00,9caace330afe,docker-persistence-1,3.48,11.85,928.5MiB / 7.653GiB,973602816,8217346179,52.4MB / 50.5MB,0B / 38.3MB,65
7,1776941000178,2026-04-23T10:43:20.178985+00:00,9caace330afe,docker-persistence-1,6.09,11.85,928.6MiB / 7.653GiB,973707673,8217346179,52.7MB / 50.7MB,0B / 38.3MB,65
8,1776941007245,2026-04-23T10:43:27.245874+00:00,9caace330afe,docker-persistence-1,6.29,11.86,929.2MiB / 7.653GiB,974336819,8217346179,52.9MB / 50.8MB,0B / 38.3MB,65
9,1776941014302,2026-04-23T10:43:34.302919+00:00,9caace330afe,docker-persistence-1,7.89,11.85,929MiB / 7.653GiB,974127104,8217346179,53.2MB / 51MB,0B / 38.3MB,65
10,1776941021929,2026-04-23T10:43:41.929769+00:00,9caace330afe,docker-persistence-1,21.39,11.86,929.1MiB / 7.653GiB,974231961,8217346179,53.5MB / 51.3MB,0B / 38.3MB,65
11,1776941029036,2026-04-23T10:43:49.036539+00:00,9caace330afe,docker-persistence-1,7.40,11.86,929.2MiB / 7.653GiB,974336819,8217346179,53.7MB / 51.5MB,0B / 38.3MB,65
12,1776941036117,2026-04-23T10:43:56.117133+00:00,9caace330afe,docker-persistence-1,4.11,11.86,929.3MiB / 7.653GiB,974441676,8217346179,54MB / 51.7MB,0B / 38.3MB,65
13,1776941043183,2026-04-23T10:44:03.183313+00:00,9caace330afe,docker-persistence-1,10.21,11.86,929.6MiB / 7.653GiB,974756249,8217346179,54.2MB / 51.9MB,0B / 38.3MB,65
14,1776941050243,2026-04-23T10:44:10.243079+00:00,9caace330afe,docker-persistence-1,7.22,11.86,929.7MiB / 7.653GiB,974861107,8217346179,54.5MB / 52.1MB,0B / 38.3MB,65
15,1776941057297,2026-04-23T10:44:17.297263+00:00,9caace330afe,docker-persistence-1,19.45,11.87,930.1MiB / 7.653GiB,975280537,8217346179,54.8MB / 52.3MB,0B / 38.3MB,65
16,1776941064362,2026-04-23T10:44:24.362086+00:00,9caace330afe,docker-persistence-1,8.17,11.87,930.1MiB / 7.653GiB,975280537,8217346179,55.2MB / 52.6MB,0B / 38.3MB,65
17,1776941071411,2026-04-23T10:44:31.411384+00:00,9caace330afe,docker-persistence-1,8.78,11.87,930.1MiB / 7.653GiB,975280537,8217346179,55.6MB / 52.9MB,0B / 38.3MB,65
18,1776941078474,2026-04-23T10:44:38.474533+00:00,9caace330afe,docker-persistence-1,4.74,11.87,930.3MiB / 7.653GiB,975490252,8217346179,55.8MB / 53.1MB,0B / 38.3MB,65
19,1776941085528,2026-04-23T10:44:45.529002+00:00,9caace330afe,docker-persistence-1,7.29,11.87,930.4MiB / 7.653GiB,975595110,8217346179,56.2MB / 53.4MB,0B / 38.3MB,65
