sample_index,timestamp_ms,timestamp_utc,container_id,container_name,cpu_percent,mem_percent,mem_usage_raw,mem_used_bytes,mem_limit_bytes,net_io_raw,block_io_raw,pids
0,1776940950596,2026-04-23T10:42:30.596050+00:00,047bb8dbb031,docker-recommender-1,1.51,7.32,573.5MiB / 7.653GiB,601358336,8217346179,5.3MB / 4.59MB,0B / 27.6MB,136
1,1776940957655,2026-04-23T10:42:37.655846+00:00,047bb8dbb031,docker-recommender-1,1.12,7.32,574MiB / 7.653GiB,601882624,8217346179,5.3MB / 4.59MB,0B / 27.6MB,136
2,1776940964736,2026-04-23T10:42:44.736688+00:00,047bb8dbb031,docker-recommender-1,2.27,7.32,573.5MiB / 7.653GiB,601358336,8217346179,5.31MB / 4.6MB,0B / 27.6MB,136
3,1776940971805,2026-04-23T10:42:51.805884+00:00,047bb8dbb031,docker-recommender-1,3.38,7.32,573.5MiB / 7.653GiB,601358336,8217346179,5.31MB / 4.6MB,0B / 27.6MB,136
4,1776940978867,2026-04-23T10:42:58.867823+00:00,047bb8dbb031,docker-recommender-1,7.77,7.32,573.5MiB / 7.653GiB,601358336,8217346179,5.31MB / 4.6MB,0B / 27.6MB,136
5,1776940985937,2026-04-23T10:43:05.937538+00:00,047bb8dbb031,docker-recommender-1,4.50,7.32,573.8MiB / 7.653GiB,601672908,8217346179,5.31MB / 4.61MB,0B / 27.6MB,136
6,1776940993090,2026-04-23T10:43:13.090180+00:00,047bb8dbb031,docker-recommender-1,17.59,7.32,573.6MiB / 7.653GiB,601463193,8217346179,5.32MB / 4.61MB,0B / 27.6MB,136
7,1776941000178,2026-04-23T10:43:20.178985+00:00,047bb8dbb031,docker-recommender-1,2.17,7.32,573.6MiB / 7.653GiB,601463193,8217346179,5.32MB / 4.61MB,0B / 27.6MB,136
8,1776941007245,2026-04-23T10:43:27.245874+00:00,047bb8dbb031,docker-recommender-1,0.89,7.32,573.6MiB / 7.653GiB,601463193,8217346179,5.32MB / 4.62MB,0B / 27.6MB,136
9,1776941014302,2026-04-23T10:43:34.302919+00:00,047bb8dbb031,docker-recommender-1,0.81,7.32,573.6MiB / 7.653GiB,601463193,8217346179,5.32MB / 4.62MB,0B / 27.6MB,136
10,1776941021929,2026-04-23T10:43:41.929769+00:00,047bb8dbb031,docker-recommender-1,30.18,7.32,573.6MiB / 7.653GiB,601463193,8217346179,5.32MB / 4.62MB,0B / 27.6MB,136
11,1776941029036,2026-04-23T10:43:49.036539+00:00,047bb8dbb031,docker-recommender-1,0.22,7.32,573.6MiB / 7.653GiB,601463193,8217346179,5.33MB / 4.63MB,0B / 27.6MB,136
12,1776941036117,2026-04-23T10:43:56.117133+00:00,047bb8dbb031,docker-recommender-1,2.44,7.32,573.6MiB / 7.653GiB,601463193,8217346179,5.33MB / 4.63MB,0B / 27.6MB,136
13,1776941043183,2026-04-23T10:44:03.183313+00:00,047bb8dbb031,docker-recommender-1,6.39,7.32,573.6MiB / 7.653GiB,601463193,8217346179,5.33MB / 4.63MB,0B / 27.6MB,136
14,1776941050243,2026-04-23T10:44:10.243079+00:00,047bb8dbb031,docker-recommender-1,0.80,7.32,573.6MiB / 7.653GiB,601463193,8217346179,5.33MB / 4.64MB,0B / 27.6MB,136
15,1776941057297,2026-04-23T10:44:17.297263+00:00,047bb8dbb031,docker-recommender-1,4.19,7.32,573.6MiB / 7.653GiB,601463193,8217346179,5.33MB / 4.64MB,0B / 27.6MB,136
16,1776941064362,2026-04-23T10:44:24.362086+00:00,047bb8dbb031,docker-recommender-1,1.46,7.32,573.6MiB / 7.653GiB,601463193,8217346179,5.34MB / 4.64MB,0B / 27.6MB,136
17,1776941071411,2026-04-23T10:44:31.411384+00:00,047bb8dbb031,docker-recommender-1,0.30,7.32,573.6MiB / 7.653GiB,601463193,8217346179,5.34MB / 4.65MB,0B / 27.6MB,136
18,1776941078474,2026-04-23T10:44:38.474533+00:00,047bb8dbb031,docker-recommender-1,1.06,7.32,573.8MiB / 7.653GiB,601672908,8217346179,5.34MB / 4.65MB,0B / 27.6MB,136
19,1776941085528,2026-04-23T10:44:45.529002+00:00,047bb8dbb031,docker-recommender-1,3.05,7.32,573.6MiB / 7.653GiB,601463193,8217346179,5.34MB / 4.65MB,0B / 27.6MB,136
20,1776941092593,2026-04-23T10:44:52.593870+00:00,047bb8dbb031,docker-recommender-1,1.65,7.32,573.6MiB / 7.653GiB,601463193,8217346179,5.35MB / 4.66MB,0B / 27.6MB,136
21,1776941099649,2026-04-23T10:44:59.649112+00:00,047bb8dbb031,docker-recommender-1,0.95,7.32,573.7MiB / 7.653GiB,601568051,8217346179,5.35MB / 4.66MB,0B / 27.6MB,136
22,1776941106705,2026-04-23T10:45:06.705267+00:00,047bb8dbb031,docker-recommender-1,1.10,7.32,573.7MiB / 7.653GiB,601568051,8217346179,5.35MB / 4.66MB,0B / 27.6MB,136
23,1776941113756,2026-04-23T10:45:13.756706+00:00,047bb8dbb031,docker-recommender-1,3.03,7.32,573.7MiB / 7.653GiB,601568051,8217346179,5.35MB / 4.67MB,0B / 27.6MB,136
24,1776941120827,2026-04-23T10:45:20.827841+00:00,047bb8dbb031,docker-recommender-1,1.22,7.32,573.7MiB / 7.653GiB,601568051,8217346179,5.35MB / 4.67MB,0B / 27.7MB,136
25,1776941127920,2026-04-23T10:45:27.920322+00:00,047bb8dbb031,docker-recommender-1,3.40,7.32,573.7MiB / 7.653GiB,601568051,8217346179,5.36MB / 4.67MB,0B / 27.7MB,136
