sample_index,timestamp_ms,timestamp_utc,container_id,container_name,cpu_percent,mem_percent,mem_usage_raw,mem_used_bytes,mem_limit_bytes,net_io_raw,block_io_raw,pids
0,1776940950596,2026-04-23T10:42:30.596050+00:00,9f919b0315c7,docker-registry-1,1.06,5.03,394.3MiB / 7.653GiB,413453516,8217346179,12.1MB / 7.97MB,0B / 12.7MB,56
1,1776940957655,2026-04-23T10:42:37.655846+00:00,9f919b0315c7,docker-registry-1,1.16,5.03,394.4MiB / 7.653GiB,413558374,8217346179,12.1MB / 7.98MB,0B / 12.7MB,56
2,1776940964736,2026-04-23T10:42:44.736688+00:00,9f919b0315c7,docker-registry-1,0.92,5.03,394.4MiB / 7.653GiB,413558374,8217346179,12.1MB / 7.99MB,0B / 12.7MB,56
3,1776940971805,2026-04-23T10:42:51.805884+00:00,9f919b0315c7,docker-registry-1,1.13,5.03,394.5MiB / 7.653GiB,413663232,8217346179,12.1MB / 7.99MB,0B / 12.7MB,56
4,1776940978867,2026-04-23T10:42:58.867823+00:00,9f919b0315c7,docker-registry-1,0.67,5.04,394.8MiB / 7.653GiB,413977804,8217346179,12.2MB / 8MB,0B / 12.7MB,56
5,1776940985937,2026-04-23T10:43:05.937538+00:00,9f919b0315c7,docker-registry-1,1.02,5.04,394.6MiB / 7.653GiB,413768089,8217346179,12.2MB / 8.01MB,0B / 12.7MB,56
6,1776940993090,2026-04-23T10:43:13.090180+00:00,9f919b0315c7,docker-registry-1,1.26,5.04,395.2MiB / 7.653GiB,414397235,8217346179,12.2MB / 8.02MB,0B / 12.7MB,56
7,1776941000178,2026-04-23T10:43:20.178985+00:00,9f919b0315c7,docker-registry-1,1.11,5.04,394.8MiB / 7.653GiB,413977804,8217346179,12.2MB / 8.03MB,0B / 12.7MB,56
8,1776941007245,2026-04-23T10:43:27.245874+00:00,9f919b0315c7,docker-registry-1,1.08,5.04,394.8MiB / 7.653GiB,413977804,8217346179,12.2MB / 8.04MB,0B / 12.7MB,56
9,1776941014302,2026-04-23T10:43:34.302919+00:00,9f919b0315c7,docker-registry-1,0.74,5.04,394.9MiB / 7.653GiB,414082662,8217346179,12.2MB / 8.05MB,0B / 12.7MB,56
10,1776941021929,2026-04-23T10:43:41.929769+00:00,9f919b0315c7,docker-registry-1,25.29,5.04,395MiB / 7.653GiB,414187520,8217346179,12.2MB / 8.06MB,0B / 12.7MB,56
11,1776941029036,2026-04-23T10:43:49.036539+00:00,9f919b0315c7,docker-registry-1,0.98,5.04,395MiB / 7.653GiB,414187520,8217346179,12.3MB / 8.07MB,0B / 12.7MB,56
