sample_index,timestamp_ms,timestamp_utc,container_id,container_name,cpu_percent,mem_percent,mem_usage_raw,mem_used_bytes,mem_limit_bytes,net_io_raw,block_io_raw,pids
0,1776940950596,2026-04-23T10:42:30.596050+00:00,24025f462381,docker-webui-1,44.30,15.97,1.222GiB / 7.653GiB,1312112508,8217346179,672MB / 785MB,0B / 34.3MB,226
1,1776940957655,2026-04-23T10:42:37.655846+00:00,24025f462381,docker-webui-1,20.89,16.20,1.24GiB / 7.653GiB,1331439861,8217346179,673MB / 787MB,0B / 34.3MB,226
2,1776940964736,2026-04-23T10:42:44.736688+00:00,24025f462381,docker-webui-1,22.85,16.28,1.246GiB / 7.653GiB,1337882312,8217346179,674MB / 789MB,0B / 34.3MB,226
3,1776940971805,2026-04-23T10:42:51.805884+00:00,24025f462381,docker-webui-1,9.98,16.21,1.24GiB / 7.653GiB,1331439861,8217346179,676MB / 792MB,0B / 34.4MB,226
4,1776940978867,2026-04-23T10:42:58.867823+00:00,24025f462381,docker-webui-1,52.00,16.51,1.263GiB / 7.653GiB,1356135923,8217346179,678MB / 795MB,0B / 34.4MB,226
5,1776940985937,2026-04-23T10:43:05.937538+00:00,24025f462381,docker-webui-1,18.96,16.68,1.276GiB / 7.653GiB,1370094567,8217346179,680MB / 798MB,0B / 34.4MB,226
6,1776940993090,2026-04-23T10:43:13.090180+00:00,24025f462381,docker-webui-1,22.27,16.68,1.277GiB / 7.653GiB,1371168309,8217346179,681MB / 800MB,0B / 34.4MB,226
7,1776941000178,2026-04-23T10:43:20.178985+00:00,24025f462381,docker-webui-1,14.65,16.99,1.3GiB / 7.653GiB,1395864371,8217346179,682MB / 803MB,0B / 34.4MB,228
8,1776941007245,2026-04-23T10:43:27.245874+00:00,24025f462381,docker-webui-1,27.01,16.90,1.293GiB / 7.653GiB,1388348178,8217346179,684MB / 805MB,0B / 34.4MB,228
9,1776941014302,2026-04-23T10:43:34.302919+00:00,24025f462381,docker-webui-1,26.11,17.03,1.304GiB / 7.653GiB,1400159338,8217346179,685MB / 807MB,0B / 34.4MB,221
10,1776941021929,2026-04-23T10:43:41.929769+00:00,24025f462381,docker-webui-1,55.67,17.32,1.326GiB / 7.653GiB,1423781658,8217346179,687MB / 811MB,0B / 34.4MB,221
11,1776941029036,2026-04-23T10:43:49.036539+00:00,24025f462381,docker-webui-1,47.89,17.39,1.331GiB / 7.653GiB,1429150367,8217346179,689MB / 813MB,0B / 34.4MB,225
12,1776941036117,2026-04-23T10:43:56.117133+00:00,24025f462381,docker-webui-1,13.34,17.53,1.342GiB / 7.653GiB,1440961527,8217346179,691MB / 816MB,0B / 34.4MB,225
13,1776941043183,2026-04-23T10:44:03.183313+00:00,24025f462381,docker-webui-1,33.30,17.61,1.348GiB / 7.653GiB,1447403978,8217346179,692MB / 818MB,0B / 34.4MB,225
14,1776941050243,2026-04-23T10:44:10.243079+00:00,24025f462381,docker-webui-1,31.60,17.61,1.348GiB / 7.653GiB,1447403978,8217346179,693MB / 821MB,0B / 34.4MB,225
15,1776941057297,2026-04-23T10:44:17.297263+00:00,24025f462381,docker-webui-1,66.12,17.77,1.36GiB / 7.653GiB,1460288880,8217346179,695MB / 824MB,0B / 34.4MB,226
16,1776941064362,2026-04-23T10:44:24.362086+00:00,24025f462381,docker-webui-1,27.87,17.77,1.36GiB / 7.653GiB,1460288880,8217346179,697MB / 827MB,0B / 34.4MB,225
17,1776941071411,2026-04-23T10:44:31.411384+00:00,24025f462381,docker-webui-1,49.57,17.64,1.35GiB / 7.653GiB,1449551462,8217346179,700MB / 831MB,0B / 34.4MB,227
18,1776941078474,2026-04-23T10:44:38.474533+00:00,24025f462381,docker-webui-1,32.84,17.63,1.349GiB / 7.653GiB,1448477720,8217346179,701MB / 834MB,0B / 34.4MB,227
19,1776941085528,2026-04-23T10:44:45.529002+00:00,24025f462381,docker-webui-1,39.79,17.63,1.349GiB / 7.653GiB,1448477720,8217346179,704MB / 838MB,0B / 34.4MB,223
20,1776941092593,2026-04-23T10:44:52.593870+00:00,24025f462381,docker-webui-1,18.67,17.72,1.356GiB / 7.653GiB,1455993913,8217346179,706MB / 842MB,0B / 34.4MB,222
21,1776941099649,2026-04-23T10:44:59.649112+00:00,24025f462381,docker-webui-1,28.32,17.74,1.358GiB / 7.653GiB,1458141396,8217346179,707MB / 844MB,0B / 34.4MB,222
22,1776941106705,2026-04-23T10:45:06.705267+00:00,24025f462381,docker-webui-1,20.81,17.65,1.351GiB / 7.653GiB,1450625204,8217346179,709MB / 846MB,0B / 34.4MB,222
23,1776941113756,2026-04-23T10:45:13.756706+00:00,24025f462381,docker-webui-1,33.51,17.66,1.351GiB / 7.653GiB,1450625204,8217346179,711MB / 849MB,0B / 34.4MB,222
24,1776941120827,2026-04-23T10:45:20.827841+00:00,24025f462381,docker-webui-1,33.57,18.00,1.378GiB / 7.653GiB,1479616233,8217346179,714MB / 855MB,0B / 34.4MB,221
25,1776941127920,2026-04-23T10:45:27.920322+00:00,24025f462381,docker-webui-1,14.48,18.02,1.379GiB / 7.653GiB,1480689975,8217346179,715MB / 857MB,0B / 34.4MB,221
26,1776941134971,2026-04-23T10:45:34.971473+00:00,24025f462381,docker-webui-1,17.54,18.06,1.382GiB / 7.653GiB,1483911200,8217346179,717MB / 859MB,0B / 34.4MB,221
27,1776941142024,2026-04-23T10:45:42.024037+00:00,24025f462381,docker-webui-1,13.58,18.10,1.385GiB / 7.653GiB,1487132426,8217346179,718MB / 861MB,0B / 34.4MB,221
28,1776941149085,2026-04-23T10:45:49.085851+00:00,24025f462381,docker-webui-1,12.84,18.16,1.39GiB / 7.653GiB,1492501135,8217346179,719MB / 863MB,0B / 34.4MB,218
29,1776941156155,2026-04-23T10:45:56.155324+00:00,24025f462381,docker-webui-1,12.38,18.04,1.381GiB / 7.653GiB,1482837458,8217346179,720MB / 864MB,0B / 34.5MB,218
30,1776941163220,2026-04-23T10:46:03.220180+00:00,24025f462381,docker-webui-1,17.31,18.09,1.384GiB / 7.653GiB,1486058684,8217346179,721MB / 867MB,0B / 34.5MB,218
31,1776941170274,2026-04-23T10:46:10.274817+00:00,24025f462381,docker-webui-1,18.26,18.14,1.388GiB / 7.653GiB,1490353651,8217346179,723MB / 870MB,0B / 34.5MB,218
32,1776941177326,2026-04-23T10:46:17.326192+00:00,24025f462381,docker-webui-1,17.45,18.27,1.399GiB / 7.653GiB,1502164811,8217346179,725MB / 873MB,0B / 34.5MB,213
33,1776941184388,2026-04-23T10:46:24.388617+00:00,24025f462381,docker-webui-1,18.44,18.31,1.401GiB / 7.653GiB,1504312295,8217346179,726MB / 875MB,0B / 34.5MB,213
34,1776941191450,2026-04-23T10:46:31.450412+00:00,24025f462381,docker-webui-1,13.92,18.28,1.399GiB / 7.653GiB,1502164811,8217346179,728MB / 877MB,0B / 34.5MB,213
35,1776941198503,2026-04-23T10:46:38.503451+00:00,24025f462381,docker-webui-1,22.97,18.32,1.402GiB / 7.653GiB,1505386037,8217346179,729MB / 880MB,0B / 34.5MB,213
36,1776941205559,2026-04-23T10:46:45.559047+00:00,24025f462381,docker-webui-1,12.82,18.40,1.408GiB / 7.653GiB,1511828488,8217346179,732MB / 885MB,0B / 34.5MB,215
37,1776941212624,2026-04-23T10:46:52.624422+00:00,24025f462381,docker-webui-1,15.42,18.44,1.411GiB / 7.653GiB,1515049713,8217346179,734MB / 887MB,0B / 34.5MB,215
38,1776941219699,2026-04-23T10:46:59.699684+00:00,24025f462381,docker-webui-1,17.42,18.46,1.413GiB / 7.653GiB,1517197197,8217346179,735MB / 889MB,0B / 34.5MB,215
39,1776941226759,2026-04-23T10:47:06.759571+00:00,24025f462381,docker-webui-1,14.32,18.50,1.416GiB / 7.653GiB,1520418422,8217346179,736MB / 891MB,0B / 34.5MB,215
40,1776941233829,2026-04-23T10:47:13.829081+00:00,24025f462381,docker-webui-1,14.54,18.54,1.419GiB / 7.653GiB,1523639648,8217346179,737MB / 892MB,0B / 34.5MB,214
41,1776941240900,2026-04-23T10:47:20.900110+00:00,24025f462381,docker-webui-1,11.68,18.58,1.422GiB / 7.653GiB,1526860873,8217346179,738MB / 895MB,0B / 34.5MB,214
42,1776941247956,2026-04-23T10:47:27.956284+00:00,24025f462381,docker-webui-1,9.51,18.63,1.425GiB / 7.653GiB,1530082099,8217346179,740MB / 898MB,0B / 34.5MB,214
43,1776941255040,2026-04-23T10:47:35.040846+00:00,24025f462381,docker-webui-1,3.06,18.63,1.426GiB / 7.653GiB,1531155841,8217346179,740MB / 898MB,0B / 34.5MB,214
44,1776941262100,2026-04-23T10:47:42.100811+00:00,24025f462381,docker-webui-1,11.44,18.65,1.427GiB / 7.653GiB,1532229582,8217346179,740MB / 898MB,0B / 34.5MB,213
45,1776941269143,2026-04-23T10:47:49.143107+00:00,24025f462381,docker-webui-1,13.68,18.68,1.43GiB / 7.653GiB,1535450808,8217346179,741MB / 900MB,0B / 34.5MB,211
46,1776941276200,2026-04-23T10:47:56.200030+00:00,24025f462381,docker-webui-1,18.07,18.72,1.433GiB / 7.653GiB,1538672033,8217346179,743MB / 903MB,0B / 34.5MB,212
47,1776941283255,2026-04-23T10:48:03.255370+00:00,24025f462381,docker-webui-1,18.54,18.82,1.44GiB / 7.653GiB,1546188226,8217346179,745MB / 907MB,0B / 34.5MB,215
48,1776941290320,2026-04-23T10:48:10.320005+00:00,24025f462381,docker-webui-1,13.59,18.85,1.442GiB / 7.653GiB,1548335710,8217346179,747MB / 909MB,0B / 34.5MB,215
49,1776941297365,2026-04-23T10:48:17.365242+00:00,24025f462381,docker-webui-1,14.64,18.93,1.449GiB / 7.653GiB,1555851902,8217346179,748MB / 912MB,0B / 34.5MB,219
50,1776941304423,2026-04-23T10:48:24.423442+00:00,24025f462381,docker-webui-1,9.43,19.07,1.459GiB / 7.653GiB,1566589321,8217346179,750MB / 914MB,0B / 34.5MB,219
51,1776941311488,2026-04-23T10:48:31.488175+00:00,24025f462381,docker-webui-1,11.13,19.13,1.464GiB / 7.653GiB,1571958030,8217346179,751MB / 916MB,0B / 34.5MB,219
52,1776941318540,2026-04-23T10:48:38.540382+00:00,24025f462381,docker-webui-1,12.84,19.16,1.466GiB / 7.653GiB,1574105513,8217346179,752MB / 918MB,0B / 34.5MB,219
53,1776941325596,2026-04-23T10:48:45.596559+00:00,24025f462381,docker-webui-1,18.86,19.19,1.469GiB / 7.653GiB,1577326739,8217346179,754MB / 921MB,0B / 34.5MB,219
54,1776941332649,2026-04-23T10:48:52.649225+00:00,24025f462381,docker-webui-1,12.56,19.13,1.464GiB / 7.653GiB,1571958030,8217346179,755MB / 923MB,0B / 34.5MB,219
55,1776941339702,2026-04-23T10:48:59.702593+00:00,24025f462381,docker-webui-1,30.39,19.20,1.469GiB / 7.653GiB,1577326739,8217346179,758MB / 927MB,0B / 34.6MB,219
56,1776941346762,2026-04-23T10:49:06.762824+00:00,24025f462381,docker-webui-1,24.23,19.24,1.473GiB / 7.653GiB,1581621706,8217346179,759MB / 930MB,0B / 34.6MB,218
57,1776941353812,2026-04-23T10:49:13.812495+00:00,24025f462381,docker-webui-1,19.70,19.28,1.475GiB / 7.653GiB,1583769190,8217346179,761MB / 933MB,0B / 34.6MB,218
58,1776941360867,2026-04-23T10:49:20.867713+00:00,24025f462381,docker-webui-1,18.79,19.32,1.479GiB / 7.653GiB,1588064157,8217346179,763MB / 936MB,0B / 34.6MB,212
59,1776941367935,2026-04-23T10:49:27.935547+00:00,24025f462381,docker-webui-1,18.07,19.49,1.492GiB / 7.653GiB,1602022801,8217346179,764MB / 938MB,0B / 34.6MB,212
60,1776941374987,2026-04-23T10:49:34.987347+00:00,24025f462381,docker-webui-1,14.29,19.53,1.495GiB / 7.653GiB,1605244026,8217346179,766MB / 940MB,0B / 34.6MB,212
61,1776941382041,2026-04-23T10:49:42.041512+00:00,24025f462381,docker-webui-1,15.67,19.53,1.495GiB / 7.653GiB,1605244026,8217346179,768MB / 944MB,0B / 34.6MB,213
62,1776941389087,2026-04-23T10:49:49.087660+00:00,24025f462381,docker-webui-1,33.22,19.53,1.495GiB / 7.653GiB,1605244026,8217346179,771MB / 950MB,0B / 34.6MB,214
63,1776941396132,2026-04-23T10:49:56.132270+00:00,24025f462381,docker-webui-1,30.72,19.42,1.486GiB / 7.653GiB,1595580350,8217346179,775MB / 955MB,0B / 34.6MB,217
64,1776941403192,2026-04-23T10:50:03.192637+00:00,24025f462381,docker-webui-1,10.59,19.42,1.486GiB / 7.653GiB,1595580350,8217346179,777MB / 959MB,0B / 34.6MB,216
65,1776941410271,2026-04-23T10:50:10.271496+00:00,24025f462381,docker-webui-1,18.35,19.42,1.486GiB / 7.653GiB,1595580350,8217346179,779MB / 962MB,0B / 34.6MB,216
66,1776941417334,2026-04-23T10:50:17.334539+00:00,24025f462381,docker-webui-1,20.49,19.42,1.486GiB / 7.653GiB,1595580350,8217346179,780MB / 965MB,0B / 34.6MB,216
67,1776941424389,2026-04-23T10:50:24.389969+00:00,24025f462381,docker-webui-1,15.09,19.41,1.486GiB / 7.653GiB,1595580350,8217346179,782MB / 968MB,0B / 34.6MB,216
68,1776941431447,2026-04-23T10:50:31.447284+00:00,24025f462381,docker-webui-1,13.84,19.41,1.486GiB / 7.653GiB,1595580350,8217346179,783MB / 969MB,0B / 34.6MB,216
