window_index,start_ms,end_ms,samples,successes,failures,error_rate_pct,throughput_rps,success_avg_ms,success_min_ms,success_p95_ms,success_max_ms,failed_avg_ms,failed_min_ms,failed_p95_ms,failed_max_ms,all_avg_ms
0,1776940874611,1776940884611,378,378,0,0.00,37.80,428.19,15,1949,2684,0.00,0,0,0,428.19
1,1776940884611,1776940894611,638,638,0,0.00,63.80,277.96,50,594,912,0.00,0,0,0,277.96
2,1776940894611,1776940904611,577,577,0,0.00,57.70,307.77,22,762,2270,0.00,0,0,0,307.77
3,1776940904611,1776940914611,898,898,0,0.00,89.80,200.54,14,489,1142,0.00,0,0,0,200.54
4,1776940914611,1776940924611,537,537,0,0.00,53.70,332.72,46,715,961,0.00,0,0,0,332.72
5,1776940924611,1776940934611,566,566,0,0.00,56.60,310.33,68,608,1522,0.00,0,0,0,310.33
6,1776940934611,1776940944611,806,806,0,0.00,80.60,221.25,16,504,877,0.00,0,0,0,221.25
7,1776940944611,1776940954611,546,546,0,0.00,54.60,306.48,14,816,2356,0.00,0,0,0,306.48
8,1776940954611,1776940964611,763,763,0,0.00,76.30,237.18,16,608,1031,0.00,0,0,0,237.18
9,1776940964611,1776940974611,583,583,0,0.00,58.30,301.68,17,621,1694,0.00,0,0,0,301.68
10,1776940974611,1776940984611,760,760,0,0.00,76.00,232.95,17,567,1508,0.00,0,0,0,232.95
11,1776940984611,1776940994611,941,941,0,0.00,94.10,187.26,8,459,1397,0.00,0,0,0,187.26
12,1776940994611,1776941004611,751,751,0,0.00,75.10,239.99,21,562,1427,0.00,0,0,0,239.99
13,1776941004611,1776941014611,1037,1037,0,0.00,103.70,170.73,21,370,931,0.00,0,0,0,170.73
14,1776941014611,1776941024611,735,735,0,0.00,73.50,244.43,13,749,1410,0.00,0,0,0,244.43
15,1776941024611,1776941034611,580,580,0,0.00,58.00,313.30,58,710,1029,0.00,0,0,0,313.30
16,1776941034611,1776941044611,1069,1069,0,0.00,106.90,165.21,14,409,629,0.00,0,0,0,165.21
17,1776941044611,1776941054611,923,923,0,0.00,92.30,197.26,14,527,1479,0.00,0,0,0,197.26
18,1776941054611,1776941064611,481,481,0,0.00,48.10,379.35,22,862,1427,0.00,0,0,0,379.35
19,1776941064611,1776941074611,441,441,0,0.00,44.10,410.22,37,885,2231,0.00,0,0,0,410.22
20,1776941074611,1776941084611,439,439,0,0.00,43.90,401.95,58,852,1431,0.00,0,0,0,401.95
21,1776941084611,1776941094611,707,707,0,0.00,70.70,255.18,20,545,1036,0.00,0,0,0,255.18
22,1776941094611,1776941104611,734,734,0,0.00,73.40,242.43,19,515,1655,0.00,0,0,0,242.43
23,1776941104611,1776941114611,630,630,0,0.00,63.00,284.62,17,661,1065,0.00,0,0,0,284.62
24,1776941114611,1776941124611,633,633,0,0.00,63.30,277.94,10,620,1318,0.00,0,0,0,277.94
25,1776941124611,1776941134611,1101,1101,0,0.00,110.10,161.99,12,419,818,0.00,0,0,0,161.99
26,1776941134611,1776941144611,534,534,0,0.00,53.40,338.36,21,630,1271,0.00,0,0,0,338.36
27,1776941144611,1776941154611,400,400,0,0.00,40.00,442.23,86,834,1529,0.00,0,0,0,442.23
28,1776941154611,1776941164611,680,680,0,0.00,68.00,262.40,22,619,1204,0.00,0,0,0,262.40
29,1776941164611,1776941174611,601,601,0,0.00,60.10,295.94,26,640,1988,0.00,0,0,0,295.94
31,1776941184611,1776941194611,257,257,0,0.00,25.70,376.25,41,872,1260,0.00,0,0,0,376.25
32,1776941194611,1776941204611,638,638,0,0.00,63.80,281.79,9,608,1502,0.00,0,0,0,281.79
33,1776941204611,1776941214611,934,934,0,0.00,93.40,190.73,12,512,2013,0.00,0,0,0,190.73
34,1776941214611,1776941224611,640,640,0,0.00,64.00,279.15,21,589,1493,0.00,0,0,0,279.15
35,1776941224611,1776941234611,626,626,0,0.00,62.60,285.03,31,688,1115,0.00,0,0,0,285.03
36,1776941234611,1776941244611,489,489,0,0.00,48.90,370.90,33,774,2061,0.00,0,0,0,370.90
37,1776941244611,1776941254611,684,684,0,0.00,68.40,257.38,17,539,1817,0.00,0,0,0,257.38
38,1776941254611,1776941264611,660,660,0,0.00,66.00,271.57,18,578,1103,0.00,0,0,0,271.57
39,1776941264611,1776941274611,921,921,0,0.00,92.10,193.62,10,560,1015,0.00,0,0,0,193.62
40,1776941274611,1776941284611,758,758,0,0.00,75.80,236.18,13,518,924,0.00,0,0,0,236.18
41,1776941284611,1776941294611,643,643,0,0.00,64.30,277.46,24,541,935,0.00,0,0,0,277.46
42,1776941294611,1776941304611,613,613,0,0.00,61.30,290.63,27,596,1324,0.00,0,0,0,290.63
43,1776941304611,1776941314611,1151,1151,0,0.00,115.10,156.49,20,351,684,0.00,0,0,0,156.49
44,1776941314611,1776941324611,1529,1529,0,0.00,152.90,117.53,14,244,658,0.00,0,0,0,117.53
45,1776941324611,1776941334611,841,841,0,0.00,84.10,211.66,14,554,1328,0.00,0,0,0,211.66
46,1776941334611,1776941344611,724,724,0,0.00,72.40,247.24,44,477,739,0.00,0,0,0,247.24
47,1776941344611,1776941354611,714,714,0,0.00,71.40,250.03,16,555,1590,0.00,0,0,0,250.03
48,1776941354611,1776941364611,506,506,0,0.00,50.60,359.97,12,817,3063,0.00,0,0,0,359.97
49,1776941364611,1776941374611,709,709,0,0.00,70.90,251.77,30,530,869,0.00,0,0,0,251.77
50,1776941374611,1776941384611,558,558,0,0.00,55.80,322.01,45,733,1522,0.00,0,0,0,322.01
51,1776941384611,1776941394611,959,959,0,0.00,95.90,183.37,7,457,1923,0.00,0,0,0,183.37
52,1776941394611,1776941404611,598,598,0,0.00,59.80,302.06,19,578,2489,0.00,0,0,0,302.06
53,1776941404611,1776941414611,829,829,0,0.00,82.90,209.85,14,460,1019,0.00,0,0,0,209.85
54,1776941414611,1776941424611,936,936,0,0.00,93.60,192.45,12,417,730,0.00,0,0,0,192.45
55,1776941424611,1776941434611,765,765,0,0.00,76.50,232.36,9,749,1538,0.00,0,0,0,232.36
56,1776941434611,1776941444611,727,727,0,0.00,72.70,249.06,19,513,1216,0.00,0,0,0,249.06
57,1776941444611,1776941454611,722,722,0,0.00,72.20,245.90,10,524,1057,0.00,0,0,0,245.90
58,1776941454611,1776941464611,706,706,0,0.00,70.60,254.64,16,490,1275,0.00,0,0,0,254.64
59,1776941464611,1776941474611,631,631,0,0.00,63.10,279.45,17,600,1378,0.00,0,0,0,279.45
60,1776941474611,1776941484611,688,688,0,0.00,68.80,261.31,23,592,1554,0.00,0,0,0,261.31
61,1776941484611,1776941494611,424,424,0,0.00,42.40,171.04,9,397,670,0.00,0,0,0,171.04
62,1776941494611,1776941504611,197,197,0,0.00,19.70,111.38,16,229,325,0.00,0,0,0,111.38
63,1776941504611,1776941514611,1132,1132,0,0.00,113.20,167.46,15,406,2426,0.00,0,0,0,167.46
64,1776941514611,1776941524611,257,257,0,0.00,25.70,653.28,101,1733,3398,0.00,0,0,0,653.28
65,1776941524611,1776941534611,905,905,0,0.00,90.50,210.41,13,626,1651,0.00,0,0,0,210.41
66,1776941534611,1776941544611,600,600,0,0.00,60.00,284.74,41,612,1647,0.00,0,0,0,284.74
67,1776941544611,1776941554611,552,552,0,0.00,55.20,316.84,33,713,1212,0.00,0,0,0,316.84
68,1776941554611,1776941564611,699,699,0,0.00,69.90,254.53,18,516,1135,0.00,0,0,0,254.53
