sample_index,timestamp_ms,timestamp_utc,container_id,container_name,cpu_percent,mem_percent,mem_usage_raw,mem_used_bytes,mem_limit_bytes,net_io_raw,block_io_raw,pids
0,1776937515816,2026-04-23T09:45:15.816096+00:00,2553add0eb44,docker-auth-1,27.96,7.00,548.9MiB / 7.653GiB,575563366,8217346179,919kB / 1.13MB,0B / 25.7MB,125
1,1776937522869,2026-04-23T09:45:22.869320+00:00,2553add0eb44,docker-auth-1,17.83,7.11,557.4MiB / 7.653GiB,584476262,8217346179,1.06MB / 1.23MB,0B / 25.7MB,125
2,1776937529923,2026-04-23T09:45:29.923499+00:00,2553add0eb44,docker-auth-1,31.95,7.29,570.9MiB / 7.653GiB,598632038,8217346179,1.19MB / 1.32MB,0B / 25.7MB,125
3,1776937536981,2026-04-23T09:45:36.981648+00:00,2553add0eb44,docker-auth-1,5.94,7.39,578.9MiB / 7.653GiB,607020646,8217346179,1.27MB / 1.37MB,0B / 25.7MB,125
4,1776937544044,2026-04-23T09:45:44.044883+00:00,2553add0eb44,docker-auth-1,6.93,7.45,583.8MiB / 7.653GiB,612158668,8217346179,1.33MB / 1.42MB,0B / 25.7MB,125
5,1776937551087,2026-04-23T09:45:51.087104+00:00,2553add0eb44,docker-auth-1,14.38,7.45,584.1MiB / 7.653GiB,612473241,8217346179,1.38MB / 1.45MB,0B / 25.7MB,125
6,1776937558155,2026-04-23T09:45:58.155642+00:00,2553add0eb44,docker-auth-1,8.19,7.51,588.4MiB / 7.653GiB,616982118,8217346179,1.43MB / 1.48MB,0B / 25.8MB,120
7,1776937565217,2026-04-23T09:46:05.217272+00:00,2553add0eb44,docker-auth-1,12.65,7.54,591MiB / 7.653GiB,619708416,8217346179,1.51MB / 1.54MB,0B / 25.8MB,119
8,1776937572281,2026-04-23T09:46:12.281150+00:00,2553add0eb44,docker-auth-1,9.14,7.60,595.8MiB / 7.653GiB,624741580,8217346179,1.57MB / 1.58MB,0B / 25.8MB,119
9,1776937579326,2026-04-23T09:46:19.326248+00:00,2553add0eb44,docker-auth-1,10.42,7.71,604.1MiB / 7.653GiB,633444761,8217346179,1.72MB / 1.68MB,0B / 25.8MB,119
