sample_index,timestamp_ms,timestamp_utc,container_id,container_name,cpu_percent,mem_percent,mem_usage_raw,mem_used_bytes,mem_limit_bytes,net_io_raw,block_io_raw,pids
0,1776937515816,2026-04-23T09:45:15.816096+00:00,b3ec606673dd,docker-db-1,0.44,1.31,103MiB / 7.653GiB,108003328,8217346179,1.3MB / 1.97MB,10.6MB / 145MB,40
1,1776937522869,2026-04-23T09:45:22.869320+00:00,b3ec606673dd,docker-db-1,0.17,1.31,103MiB / 7.653GiB,108003328,8217346179,1.32MB / 2.05MB,10.6MB / 145MB,40
2,1776937529923,2026-04-23T09:45:29.923499+00:00,b3ec606673dd,docker-db-1,0.19,1.31,103MiB / 7.653GiB,108003328,8217346179,1.35MB / 2.17MB,10.6MB / 145MB,40
3,1776937536981,2026-04-23T09:45:36.981648+00:00,b3ec606673dd,docker-db-1,0.20,1.31,103MiB / 7.653GiB,108003328,8217346179,1.36MB / 2.21MB,10.6MB / 145MB,40
4,1776937544044,2026-04-23T09:45:44.044883+00:00,b3ec606673dd,docker-db-1,0.18,1.31,103MiB / 7.653GiB,108003328,8217346179,1.38MB / 2.25MB,10.6MB / 145MB,40
5,1776937551087,2026-04-23T09:45:51.087104+00:00,b3ec606673dd,docker-db-1,0.14,1.31,103MiB / 7.653GiB,108003328,8217346179,1.38MB / 2.28MB,10.6MB / 145MB,40
6,1776937558155,2026-04-23T09:45:58.155642+00:00,b3ec606673dd,docker-db-1,0.16,1.31,103MiB / 7.653GiB,108003328,8217346179,1.4MB / 2.33MB,10.6MB / 145MB,40
7,1776937565217,2026-04-23T09:46:05.217272+00:00,b3ec606673dd,docker-db-1,0.22,1.31,103MiB / 7.653GiB,108003328,8217346179,1.41MB / 2.38MB,10.6MB / 145MB,40
8,1776937572281,2026-04-23T09:46:12.281150+00:00,b3ec606673dd,docker-db-1,0.17,1.31,103MiB / 7.653GiB,108003328,8217346179,1.43MB / 2.42MB,10.6MB / 145MB,40
9,1776937579326,2026-04-23T09:46:19.326248+00:00,b3ec606673dd,docker-db-1,0.27,1.31,103MiB / 7.653GiB,108003328,8217346179,1.45MB / 2.51MB,10.6MB / 145MB,40
10,1776937586382,2026-04-23T09:46:26.382773+00:00,b3ec606673dd,docker-db-1,0.16,1.32,103.5MiB / 7.653GiB,108527616,8217346179,1.48MB / 2.62MB,10.6MB / 145MB,40
11,1776937593456,2026-04-23T09:46:33.456513+00:00,b3ec606673dd,docker-db-1,0.14,1.39,109.2MiB / 7.653GiB,114504499,8217346179,1.5MB / 2.69MB,10.6MB / 145MB,40
12,1776937600523,2026-04-23T09:46:40.523612+00:00,b3ec606673dd,docker-db-1,0.22,1.39,109.2MiB / 7.653GiB,114504499,8217346179,1.52MB / 2.75MB,10.6MB / 145MB,40
13,1776937607596,2026-04-23T09:46:47.596208+00:00,b3ec606673dd,docker-db-1,0.12,1.40,109.4MiB / 7.653GiB,114714214,8217346179,1.54MB / 2.81MB,10.6MB / 145MB,40
14,1776937614644,2026-04-23T09:46:54.644846+00:00,b3ec606673dd,docker-db-1,0.16,1.40,109.4MiB / 7.653GiB,114714214,8217346179,1.55MB / 2.86MB,10.6MB / 145MB,40
15,1776937621712,2026-04-23T09:47:01.712457+00:00,b3ec606673dd,docker-db-1,0.13,1.40,109.4MiB / 7.653GiB,114714214,8217346179,1.56MB / 2.89MB,10.6MB / 145MB,40
16,1776937628776,2026-04-23T09:47:08.776256+00:00,b3ec606673dd,docker-db-1,0.25,1.40,109.4MiB / 7.653GiB,114714214,8217346179,1.57MB / 2.94MB,10.6MB / 145MB,40
17,1776937635858,2026-04-23T09:47:15.858715+00:00,b3ec606673dd,docker-db-1,0.26,1.40,109.4MiB / 7.653GiB,114714214,8217346179,1.59MB / 3MB,10.6MB / 145MB,40
18,1776937642927,2026-04-23T09:47:22.927250+00:00,b3ec606673dd,docker-db-1,0.21,1.40,109.4MiB / 7.653GiB,114714214,8217346179,1.6MB / 3.04MB,10.6MB / 145MB,40
19,1776937649982,2026-04-23T09:47:29.982649+00:00,b3ec606673dd,docker-db-1,0.10,1.40,109.4MiB / 7.653GiB,114714214,8217346179,1.62MB / 3.12MB,10.6MB / 145MB,40
20,1776937657040,2026-04-23T09:47:37.040663+00:00,b3ec606673dd,docker-db-1,0.25,1.40,109.4MiB / 7.653GiB,114714214,8217346179,1.65MB / 3.22MB,10.6MB / 145MB,40
21,1776937664106,2026-04-23T09:47:44.106719+00:00,b3ec606673dd,docker-db-1,0.31,1.40,109.4MiB / 7.653GiB,114714214,8217346179,1.68MB / 3.33MB,10.6MB / 145MB,40
22,1776937671179,2026-04-23T09:47:51.179814+00:00,b3ec606673dd,docker-db-1,0.22,1.40,109.4MiB / 7.653GiB,114714214,8217346179,1.71MB / 3.42MB,10.6MB / 145MB,40
