sample_index,timestamp_ms,timestamp_utc,container_id,container_name,cpu_percent,mem_percent,mem_usage_raw,mem_used_bytes,mem_limit_bytes,net_io_raw,block_io_raw,pids
0,1776937515816,2026-04-23T09:45:15.816096+00:00,eaf29550fd31,docker-image-1,33.35,8.07,632.4MiB / 7.653GiB,663119462,8217346179,923kB / 10.8MB,0B / 58.8MB,151
1,1776937522869,2026-04-23T09:45:22.869320+00:00,eaf29550fd31,docker-image-1,10.43,8.23,645.1MiB / 7.653GiB,676436377,8217346179,1.03MB / 14.7MB,0B / 58.8MB,151
2,1776937529923,2026-04-23T09:45:29.923499+00:00,eaf29550fd31,docker-image-1,8.38,8.30,650.7MiB / 7.653GiB,682308403,8217346179,1.15MB / 18.7MB,0B / 59.2MB,151
3,1776937536981,2026-04-23T09:45:36.981648+00:00,eaf29550fd31,docker-image-1,4.14,8.37,655.6MiB / 7.653GiB,687446425,8217346179,1.2MB / 20.2MB,0B / 59.2MB,151
4,1776937544044,2026-04-23T09:45:44.044883+00:00,eaf29550fd31,docker-image-1,2.86,8.40,658.1MiB / 7.653GiB,690067865,8217346179,1.25MB / 22MB,0B / 60.8MB,151
5,1776937551087,2026-04-23T09:45:51.087104+00:00,eaf29550fd31,docker-image-1,6.26,8.43,660.7MiB / 7.653GiB,692794163,8217346179,1.29MB / 23.2MB,0B / 60.8MB,151
6,1776937558155,2026-04-23T09:45:58.155642+00:00,eaf29550fd31,docker-image-1,2.58,8.46,663.1MiB / 7.653GiB,695310745,8217346179,1.34MB / 24.8MB,0B / 61.5MB,151
7,1776937565217,2026-04-23T09:46:05.217272+00:00,eaf29550fd31,docker-image-1,8.09,8.57,671.8MiB / 7.653GiB,704433356,8217346179,1.4MB / 26.8MB,0B / 61.5MB,151
8,1776937572281,2026-04-23T09:46:12.281150+00:00,eaf29550fd31,docker-image-1,8.14,8.71,682.6MiB / 7.653GiB,715757977,8217346179,1.46MB / 28.8MB,0B / 61.9MB,151
9,1776937579326,2026-04-23T09:46:19.326248+00:00,eaf29550fd31,docker-image-1,5.24,8.77,687.2MiB / 7.653GiB,720581427,8217346179,1.56MB / 32.8MB,0B / 61.9MB,151
10,1776937586382,2026-04-23T09:46:26.382773+00:00,eaf29550fd31,docker-image-1,9.85,8.84,693.1MiB / 7.653GiB,726768025,8217346179,1.67MB / 36.3MB,0B / 61.9MB,151
11,1776937593456,2026-04-23T09:46:33.456513+00:00,eaf29550fd31,docker-image-1,4.38,8.83,691.7MiB / 7.653GiB,725300019,8217346179,1.75MB / 38.9MB,0B / 62.1MB,151
12,1776937600523,2026-04-23T09:46:40.523612+00:00,eaf29550fd31,docker-image-1,8.06,8.88,696MiB / 7.653GiB,729808896,8217346179,1.83MB / 41.7MB,0B / 62.1MB,151
13,1776937607596,2026-04-23T09:46:47.596208+00:00,eaf29550fd31,docker-image-1,1.43,8.91,698.2MiB / 7.653GiB,732115763,8217346179,1.88MB / 43.5MB,0B / 62.1MB,151
14,1776937614644,2026-04-23T09:46:54.644846+00:00,eaf29550fd31,docker-image-1,2.71,8.99,704.7MiB / 7.653GiB,738931507,8217346179,1.94MB / 45.3MB,0B / 62.1MB,151
15,1776937621712,2026-04-23T09:47:01.712457+00:00,eaf29550fd31,docker-image-1,2.02,8.93,700MiB / 7.653GiB,734003200,8217346179,1.99MB / 47.1MB,0B / 62.1MB,151
16,1776937628776,2026-04-23T09:47:08.776256+00:00,eaf29550fd31,docker-image-1,6.10,8.97,702.6MiB / 7.653GiB,736729497,8217346179,2.05MB / 49MB,0B / 62.1MB,151
17,1776937635858,2026-04-23T09:47:15.858715+00:00,eaf29550fd31,docker-image-1,3.94,9.00,705.3MiB / 7.653GiB,739560652,8217346179,2.12MB / 51.3MB,0B / 62.1MB,151
18,1776937642927,2026-04-23T09:47:22.927250+00:00,eaf29550fd31,docker-image-1,17.46,9.03,707.6MiB / 7.653GiB,741972377,8217346179,2.17MB / 53.5MB,0B / 62.1MB,151
19,1776937649982,2026-04-23T09:47:29.982649+00:00,eaf29550fd31,docker-image-1,5.73,9.06,709.9MiB / 7.653GiB,744384102,8217346179,2.25MB / 55.9MB,0B / 62.2MB,151
20,1776937657040,2026-04-23T09:47:37.040663+00:00,eaf29550fd31,docker-image-1,4.05,9.09,712.2MiB / 7.653GiB,746795827,8217346179,2.37MB / 60MB,0B / 62.2MB,151
21,1776937664106,2026-04-23T09:47:44.106719+00:00,eaf29550fd31,docker-image-1,5.74,9.12,714.8MiB / 7.653GiB,749522124,8217346179,2.5MB / 64.5MB,0B / 62.2MB,151
22,1776937671179,2026-04-23T09:47:51.179814+00:00,eaf29550fd31,docker-image-1,4.54,9.15,717.2MiB / 7.653GiB,752038707,8217346179,2.6MB / 67.6MB,0B / 62.2MB,151
23,1776937678249,2026-04-23T09:47:58.249856+00:00,eaf29550fd31,docker-image-1,39.30,9.26,725.4MiB / 7.653GiB,760637030,8217346179,2.71MB / 71.6MB,0B / 62.2MB,151
24,1776937685342,2026-04-23T09:48:05.342384+00:00,eaf29550fd31,docker-image-1,2.52,9.27,726.5MiB / 7.653GiB,761790464,8217346179,2.81MB / 75.1MB,0B / 62.2MB,151
25,1776937692398,2026-04-23T09:48:12.398679+00:00,eaf29550fd31,docker-image-1,4.30,9.41,737.6MiB / 7.653GiB,773429657,8217346179,2.87MB / 76.8MB,0B / 62.2MB,151
26,1776937699472,2026-04-23T09:48:19.472098+00:00,eaf29550fd31,docker-image-1,6.12,9.44,739.9MiB / 7.653GiB,775841382,8217346179,2.93MB / 79MB,0B / 62.2MB,151
27,1776937706547,2026-04-23T09:48:26.547139+00:00,eaf29550fd31,docker-image-1,3.73,9.30,729.1MiB / 7.653GiB,764516761,8217346179,2.99MB / 81.5MB,0B / 62.2MB,151
28,1776937713605,2026-04-23T09:48:33.605313+00:00,eaf29550fd31,docker-image-1,3.97,9.34,732.1MiB / 7.653GiB,767662489,8217346179,3.1MB / 85.1MB,0B / 62.2MB,151
29,1776937720671,2026-04-23T09:48:40.671049+00:00,eaf29550fd31,docker-image-1,5.89,9.36,733.4MiB / 7.653GiB,769025638,8217346179,3.18MB / 88.2MB,0B / 62.2MB,151
30,1776937727736,2026-04-23T09:48:47.736229+00:00,eaf29550fd31,docker-image-1,1.22,9.37,734.6MiB / 7.653GiB,770283929,8217346179,3.24MB / 90MB,0B / 62.2MB,151
31,1776937734814,2026-04-23T09:48:54.814638+00:00,eaf29550fd31,docker-image-1,4.07,9.39,736.1MiB / 7.653GiB,771856793,8217346179,3.31MB / 92.3MB,0B / 62.2MB,151
32,1776937741873,2026-04-23T09:49:01.873775+00:00,eaf29550fd31,docker-image-1,5.67,9.40,737MiB / 7.653GiB,772800512,8217346179,3.36MB / 93.9MB,0B / 62.3MB,151
33,1776937748940,2026-04-23T09:49:08.940184+00:00,eaf29550fd31,docker-image-1,5.83,9.42,738.5MiB / 7.653GiB,774373376,8217346179,3.41MB / 96MB,0B / 62.3MB,151
34,1776937756042,2026-04-23T09:49:16.042659+00:00,eaf29550fd31,docker-image-1,4.81,9.46,741.1MiB / 7.653GiB,777099673,8217346179,3.51MB / 99.1MB,0B / 62.3MB,151
35,1776937763116,2026-04-23T09:49:23.116221+00:00,eaf29550fd31,docker-image-1,4.95,9.49,743.4MiB / 7.653GiB,779511398,8217346179,3.64MB / 103MB,0B / 62.3MB,151
36,1776937770207,2026-04-23T09:49:30.207926+00:00,eaf29550fd31,docker-image-1,2.29,9.50,744.7MiB / 7.653GiB,780874547,8217346179,3.66MB / 104MB,0B / 62.3MB,151
37,1776937777308,2026-04-23T09:49:37.308064+00:00,eaf29550fd31,docker-image-1,3.17,9.52,746MiB / 7.653GiB,782237696,8217346179,3.66MB / 104MB,0B / 62.3MB,151
