sample_index,timestamp_ms,timestamp_utc,container_id,container_name,cpu_percent,mem_percent,mem_usage_raw,mem_used_bytes,mem_limit_bytes,net_io_raw,block_io_raw,pids
0,1776937515816,2026-04-23T09:45:15.816096+00:00,9caace330afe,docker-persistence-1,36.83,9.89,774.8MiB / 7.653GiB,812436684,8217346179,2.79MB / 2.69MB,0B / 36.4MB,65
1,1776937522869,2026-04-23T09:45:22.869320+00:00,9caace330afe,docker-persistence-1,24.68,9.91,776.3MiB / 7.653GiB,814009548,8217346179,3.12MB / 3.01MB,0B / 36.4MB,65
2,1776937529923,2026-04-23T09:45:29.923499+00:00,9caace330afe,docker-persistence-1,19.01,9.99,783.2MiB / 7.653GiB,821244723,8217346179,3.43MB / 3.32MB,0B / 36.4MB,65
3,1776937536981,2026-04-23T09:45:36.981648+00:00,9caace330afe,docker-persistence-1,12.69,10.00,783.4MiB / 7.653GiB,821454438,8217346179,3.59MB / 3.47MB,0B / 36.4MB,65
4,1776937544044,2026-04-23T09:45:44.044883+00:00,9caace330afe,docker-persistence-1,2.10,10.00,783.4MiB / 7.653GiB,821454438,8217346179,3.73MB / 3.6MB,0B / 36.4MB,65
5,1776937551087,2026-04-23T09:45:51.087104+00:00,9caace330afe,docker-persistence-1,12.49,10.00,783.8MiB / 7.653GiB,821873868,8217346179,3.85MB / 3.72MB,0B / 36.4MB,65
6,1776937558155,2026-04-23T09:45:58.155642+00:00,9caace330afe,docker-persistence-1,5.21,10.05,787.5MiB / 7.653GiB,825753600,8217346179,3.98MB / 3.85MB,0B / 36.5MB,65
7,1776937565217,2026-04-23T09:46:05.217272+00:00,9caace330afe,docker-persistence-1,10.42,10.05,787.3MiB / 7.653GiB,825543884,8217346179,4.13MB / 4MB,0B / 36.5MB,65
8,1776937572281,2026-04-23T09:46:12.281150+00:00,9caace330afe,docker-persistence-1,4.53,10.05,787.3MiB / 7.653GiB,825543884,8217346179,4.29MB / 4.15MB,0B / 36.5MB,65
9,1776937579326,2026-04-23T09:46:19.326248+00:00,9caace330afe,docker-persistence-1,33.38,10.09,790.5MiB / 7.653GiB,828899328,8217346179,4.6MB / 4.45MB,0B / 36.5MB,65
10,1776937586382,2026-04-23T09:46:26.382773+00:00,9caace330afe,docker-persistence-1,4.21,9.98,782.5MiB / 7.653GiB,820510720,8217346179,4.93MB / 4.78MB,0B / 36.5MB,65
11,1776937593456,2026-04-23T09:46:33.456513+00:00,9caace330afe,docker-persistence-1,9.79,10.09,790.5MiB / 7.653GiB,828899328,8217346179,5.16MB / 5MB,0B / 36.5MB,65
12,1776937600523,2026-04-23T09:46:40.523612+00:00,9caace330afe,docker-persistence-1,8.79,9.99,782.8MiB / 7.653GiB,820825292,8217346179,5.41MB / 5.24MB,0B / 36.5MB,65
13,1776937607596,2026-04-23T09:46:47.596208+00:00,9caace330afe,docker-persistence-1,14.61,9.99,783MiB / 7.653GiB,821035008,8217346179,5.55MB / 5.38MB,0B / 36.5MB,65
14,1776937614644,2026-04-23T09:46:54.644846+00:00,9caace330afe,docker-persistence-1,14.41,9.99,783.1MiB / 7.653GiB,821139865,8217346179,5.7MB / 5.53MB,0B / 36.5MB,65
15,1776937621712,2026-04-23T09:47:01.712457+00:00,9caace330afe,docker-persistence-1,2.08,9.99,782.8MiB / 7.653GiB,820825292,8217346179,5.82MB / 5.65MB,0B / 36.5MB,65
16,1776937628776,2026-04-23T09:47:08.776256+00:00,9caace330afe,docker-persistence-1,4.95,9.99,782.9MiB / 7.653GiB,820930150,8217346179,5.98MB / 5.8MB,0B / 36.5MB,65
17,1776937635858,2026-04-23T09:47:15.858715+00:00,9caace330afe,docker-persistence-1,5.03,9.99,782.9MiB / 7.653GiB,820930150,8217346179,6.17MB / 5.99MB,0B / 36.5MB,65
18,1776937642927,2026-04-23T09:47:22.927250+00:00,9caace330afe,docker-persistence-1,8.00,9.99,783MiB / 7.653GiB,821035008,8217346179,6.35MB / 6.16MB,0B / 36.5MB,65
19,1776937649982,2026-04-23T09:47:29.982649+00:00,9caace330afe,docker-persistence-1,4.61,9.99,783.1MiB / 7.653GiB,821139865,8217346179,6.54MB / 6.34MB,0B / 36.5MB,65
20,1776937657040,2026-04-23T09:47:37.040663+00:00,9caace330afe,docker-persistence-1,26.02,9.99,783.2MiB / 7.653GiB,821244723,8217346179,6.9MB / 6.69MB,0B / 36.5MB,65
21,1776937664106,2026-04-23T09:47:44.106719+00:00,9caace330afe,docker-persistence-1,8.85,9.99,783.3MiB / 7.653GiB,821349580,8217346179,7.27MB / 7.05MB,0B / 36.5MB,65
22,1776937671179,2026-04-23T09:47:51.179814+00:00,9caace330afe,docker-persistence-1,2.80,10.00,783.3MiB / 7.653GiB,821349580,8217346179,7.54MB / 7.32MB,0B / 36.5MB,65
23,1776937678249,2026-04-23T09:47:58.249856+00:00,9caace330afe,docker-persistence-1,11.87,9.99,783.2MiB / 7.653GiB,821244723,8217346179,7.78MB / 7.55MB,0B / 36.5MB,65
24,1776937685342,2026-04-23T09:48:05.342384+00:00,9caace330afe,docker-persistence-1,3.38,10.00,783.3MiB / 7.653GiB,821349580,8217346179,8.14MB / 7.9MB,0B / 36.5MB,65
25,1776937692398,2026-04-23T09:48:12.398679+00:00,9caace330afe,docker-persistence-1,13.71,10.00,783.3MiB / 7.653GiB,821349580,8217346179,8.3MB / 8.06MB,0B / 36.5MB,65
26,1776937699472,2026-04-23T09:48:19.472098+00:00,9caace330afe,docker-persistence-1,4.80,10.00,783.3MiB / 7.653GiB,821349580,8217346179,8.5MB / 8.25MB,0B / 36.5MB,65
27,1776937706547,2026-04-23T09:48:26.547139+00:00,9caace330afe,docker-persistence-1,4.13,10.00,783.3MiB / 7.653GiB,821349580,8217346179,8.67MB / 8.41MB,0B / 36.5MB,65
28,1776937713605,2026-04-23T09:48:33.605313+00:00,9caace330afe,docker-persistence-1,3.59,10.00,783.3MiB / 7.653GiB,821349580,8217346179,8.95MB / 8.69MB,0B / 36.5MB,65
29,1776937720671,2026-04-23T09:48:40.671049+00:00,9caace330afe,docker-persistence-1,5.91,10.00,783.4MiB / 7.653GiB,821454438,8217346179,9.18MB / 8.91MB,0B / 36.5MB,65
30,1776937727736,2026-04-23T09:48:47.736229+00:00,9caace330afe,docker-persistence-1,7.03,10.00,783.4MiB / 7.653GiB,821454438,8217346179,9.34MB / 9.07MB,0B / 36.5MB,65
31,1776937734814,2026-04-23T09:48:54.814638+00:00,9caace330afe,docker-persistence-1,10.29,10.00,783.5MiB / 7.653GiB,821559296,8217346179,9.53MB / 9.25MB,0B / 36.5MB,65
32,1776937741873,2026-04-23T09:49:01.873775+00:00,9caace330afe,docker-persistence-1,5.23,10.00,783.5MiB / 7.653GiB,821559296,8217346179,9.7MB / 9.42MB,0B / 36.6MB,65
33,1776937748940,2026-04-23T09:49:08.940184+00:00,9caace330afe,docker-persistence-1,4.31,10.01,784.5MiB / 7.653GiB,822607872,8217346179,9.84MB / 9.56MB,0B / 36.6MB,65
34,1776937756042,2026-04-23T09:49:16.042659+00:00,9caace330afe,docker-persistence-1,19.36,10.00,783.5MiB / 7.653GiB,821559296,8217346179,10.1MB / 9.8MB,0B / 36.6MB,65
35,1776937763116,2026-04-23T09:49:23.116221+00:00,9caace330afe,docker-persistence-1,1.69,10.01,784.1MiB / 7.653GiB,822188441,8217346179,10.5MB / 10.2MB,0B / 36.6MB,65
36,1776937770207,2026-04-23T09:49:30.207926+00:00,9caace330afe,docker-persistence-1,59.14,10.00,783.4MiB / 7.653GiB,821454438,8217346179,10.5MB / 10.2MB,0B / 36.6MB,65
37,1776937777308,2026-04-23T09:49:37.308064+00:00,9caace330afe,docker-persistence-1,5.99,10.00,783.5MiB / 7.653GiB,821559296,8217346179,10.5MB / 10.2MB,0B / 36.6MB,65
38,1776937784366,2026-04-23T09:49:44.366034+00:00,9caace330afe,docker-persistence-1,7.50,10.00,783.7MiB / 7.653GiB,821769011,8217346179,10.7MB / 10.3MB,0B / 36.6MB,65
39,1776937791414,2026-04-23T09:49:51.414039+00:00,9caace330afe,docker-persistence-1,17.65,10.00,783.8MiB / 7.653GiB,821873868,8217346179,11.1MB / 10.7MB,0B / 36.6MB,65
40,1776937798487,2026-04-23T09:49:58.487770+00:00,9caace330afe,docker-persistence-1,3.63,10.00,783.5MiB / 7.653GiB,821559296,8217346179,11.3MB / 11MB,0B / 36.6MB,65
41,1776937805538,2026-04-23T09:50:05.538539+00:00,9caace330afe,docker-persistence-1,2.95,10.00,783.5MiB / 7.653GiB,821559296,8217346179,11.4MB / 11.1MB,0B / 36.6MB,65
42,1776937812600,2026-04-23T09:50:12.600993+00:00,9caace330afe,docker-persistence-1,4.75,10.00,783.6MiB / 7.653GiB,821664153,8217346179,11.8MB / 11.4MB,0B / 36.6MB,65
