sample_index,timestamp_ms,timestamp_utc,container_id,container_name,cpu_percent,mem_percent,mem_usage_raw,mem_used_bytes,mem_limit_bytes,net_io_raw,block_io_raw,pids
0,1776937515816,2026-04-23T09:45:15.816096+00:00,047bb8dbb031,docker-recommender-1,4.59,7.27,569.7MiB / 7.653GiB,597373747,8217346179,1MB / 1.32MB,0B / 25.7MB,136
1,1776937522869,2026-04-23T09:45:22.869320+00:00,047bb8dbb031,docker-recommender-1,14.79,7.48,586.1MiB / 7.653GiB,614570393,8217346179,1.03MB / 1.34MB,0B / 25.7MB,136
2,1776937529923,2026-04-23T09:45:29.923499+00:00,047bb8dbb031,docker-recommender-1,6.39,7.49,586.9MiB / 7.653GiB,615409254,8217346179,1.06MB / 1.35MB,0B / 25.7MB,136
3,1776937536981,2026-04-23T09:45:36.981648+00:00,047bb8dbb031,docker-recommender-1,4.20,7.23,566.5MiB / 7.653GiB,594018304,8217346179,1.07MB / 1.36MB,0B / 25.7MB,136
4,1776937544044,2026-04-23T09:45:44.044883+00:00,047bb8dbb031,docker-recommender-1,1.31,7.41,580.8MiB / 7.653GiB,609012940,8217346179,1.08MB / 1.37MB,0B / 25.7MB,136
5,1776937551087,2026-04-23T09:45:51.087104+00:00,047bb8dbb031,docker-recommender-1,6.39,7.41,580.9MiB / 7.653GiB,609117798,8217346179,1.09MB / 1.38MB,0B / 25.7MB,136
6,1776937558155,2026-04-23T09:45:58.155642+00:00,047bb8dbb031,docker-recommender-1,3.85,7.62,597.1MiB / 7.653GiB,626104729,8217346179,1.1MB / 1.39MB,0B / 25.8MB,136
7,1776937565217,2026-04-23T09:46:05.217272+00:00,047bb8dbb031,docker-recommender-1,5.12,7.49,587.2MiB / 7.653GiB,615723827,8217346179,1.12MB / 1.4MB,0B / 25.8MB,136
8,1776937572281,2026-04-23T09:46:12.281150+00:00,047bb8dbb031,docker-recommender-1,2.93,7.44,583.3MiB / 7.653GiB,611634380,8217346179,1.13MB / 1.41MB,0B / 25.8MB,136
9,1776937579326,2026-04-23T09:46:19.326248+00:00,047bb8dbb031,docker-recommender-1,15.31,7.45,584.1MiB / 7.653GiB,612473241,8217346179,1.15MB / 1.42MB,0B / 25.8MB,136
10,1776937586382,2026-04-23T09:46:26.382773+00:00,047bb8dbb031,docker-recommender-1,1.40,7.49,586.6MiB / 7.653GiB,615094681,8217346179,1.18MB / 1.43MB,0B / 25.8MB,136
11,1776937593456,2026-04-23T09:46:33.456513+00:00,047bb8dbb031,docker-recommender-1,11.47,7.49,587.2MiB / 7.653GiB,615723827,8217346179,1.2MB / 1.45MB,0B / 25.8MB,136
12,1776937600523,2026-04-23T09:46:40.523612+00:00,047bb8dbb031,docker-recommender-1,5.11,7.24,567.7MiB / 7.653GiB,595276595,8217346179,1.21MB / 1.46MB,0B / 25.8MB,136
13,1776937607596,2026-04-23T09:46:47.596208+00:00,047bb8dbb031,docker-recommender-1,2.04,7.25,567.9MiB / 7.653GiB,595486310,8217346179,1.23MB / 1.47MB,0B / 25.8MB,136
14,1776937614644,2026-04-23T09:46:54.644846+00:00,047bb8dbb031,docker-recommender-1,7.32,7.24,567.7MiB / 7.653GiB,595276595,8217346179,1.24MB / 1.47MB,0B / 25.8MB,136
15,1776937621712,2026-04-23T09:47:01.712457+00:00,047bb8dbb031,docker-recommender-1,0.56,7.25,568MiB / 7.653GiB,595591168,8217346179,1.25MB / 1.48MB,0B / 25.8MB,136
16,1776937628776,2026-04-23T09:47:08.776256+00:00,047bb8dbb031,docker-recommender-1,5.67,7.25,568.2MiB / 7.653GiB,595800883,8217346179,1.26MB / 1.49MB,0B / 25.8MB,136
17,1776937635858,2026-04-23T09:47:15.858715+00:00,047bb8dbb031,docker-recommender-1,2.87,7.25,568.2MiB / 7.653GiB,595800883,8217346179,1.28MB / 1.5MB,0B / 25.8MB,136
18,1776937642927,2026-04-23T09:47:22.927250+00:00,047bb8dbb031,docker-recommender-1,3.69,7.25,568.2MiB / 7.653GiB,595800883,8217346179,1.29MB / 1.51MB,0B / 25.8MB,136
19,1776937649982,2026-04-23T09:47:29.982649+00:00,047bb8dbb031,docker-recommender-1,2.40,7.25,568.3MiB / 7.653GiB,595905740,8217346179,1.31MB / 1.52MB,0B / 25.8MB,136
20,1776937657040,2026-04-23T09:47:37.040663+00:00,047bb8dbb031,docker-recommender-1,3.79,7.25,568.4MiB / 7.653GiB,596010598,8217346179,1.33MB / 1.54MB,0B / 25.8MB,136
21,1776937664106,2026-04-23T09:47:44.106719+00:00,047bb8dbb031,docker-recommender-1,3.40,7.30,571.8MiB / 7.653GiB,599575756,8217346179,1.36MB / 1.55MB,0B / 25.8MB,136
22,1776937671179,2026-04-23T09:47:51.179814+00:00,047bb8dbb031,docker-recommender-1,5.70,7.30,571.8MiB / 7.653GiB,599575756,8217346179,1.38MB / 1.57MB,0B / 25.8MB,136
