sample_index,timestamp_ms,timestamp_utc,container_id,container_name,cpu_percent,mem_percent,mem_usage_raw,mem_used_bytes,mem_limit_bytes,net_io_raw,block_io_raw,pids
0,1776937515816,2026-04-23T09:45:15.816096+00:00,9f919b0315c7,docker-registry-1,1.51,5.03,394.4MiB / 7.653GiB,413558374,8217346179,5.46MB / 3.59MB,0B / 10.9MB,56
1,1776937522869,2026-04-23T09:45:22.869320+00:00,9f919b0315c7,docker-registry-1,0.91,5.03,394.5MiB / 7.653GiB,413663232,8217346179,5.48MB / 3.6MB,0B / 10.9MB,56
2,1776937529923,2026-04-23T09:45:29.923499+00:00,9f919b0315c7,docker-registry-1,1.48,5.04,394.6MiB / 7.653GiB,413768089,8217346179,5.49MB / 3.61MB,0B / 10.9MB,56
3,1776937536981,2026-04-23T09:45:36.981648+00:00,9f919b0315c7,docker-registry-1,1.25,5.04,394.7MiB / 7.653GiB,413872947,8217346179,5.5MB / 3.62MB,0B / 10.9MB,56
4,1776937544044,2026-04-23T09:45:44.044883+00:00,9f919b0315c7,docker-registry-1,1.41,4.94,387MiB / 7.653GiB,405798912,8217346179,5.52MB / 3.63MB,0B / 10.9MB,56
5,1776937551087,2026-04-23T09:45:51.087104+00:00,9f919b0315c7,docker-registry-1,0.66,4.96,388.4MiB / 7.653GiB,407266918,8217346179,5.53MB / 3.64MB,0B / 10.9MB,56
6,1776937558155,2026-04-23T09:45:58.155642+00:00,9f919b0315c7,docker-registry-1,0.86,4.96,388.4MiB / 7.653GiB,407266918,8217346179,5.55MB / 3.65MB,0B / 10.9MB,56
7,1776937565217,2026-04-23T09:46:05.217272+00:00,9f919b0315c7,docker-registry-1,1.14,4.96,388.4MiB / 7.653GiB,407266918,8217346179,5.56MB / 3.66MB,0B / 10.9MB,56
8,1776937572281,2026-04-23T09:46:12.281150+00:00,9f919b0315c7,docker-registry-1,1.27,4.96,388.4MiB / 7.653GiB,407266918,8217346179,5.57MB / 3.67MB,0B / 10.9MB,56
9,1776937579326,2026-04-23T09:46:19.326248+00:00,9f919b0315c7,docker-registry-1,0.73,4.96,388.4MiB / 7.653GiB,407266918,8217346179,5.58MB / 3.67MB,0B / 10.9MB,56
10,1776937586382,2026-04-23T09:46:26.382773+00:00,9f919b0315c7,docker-registry-1,0.80,4.96,388.4MiB / 7.653GiB,407266918,8217346179,5.6MB / 3.68MB,0B / 10.9MB,56
11,1776937593456,2026-04-23T09:46:33.456513+00:00,9f919b0315c7,docker-registry-1,0.82,4.96,388.4MiB / 7.653GiB,407266918,8217346179,5.61MB / 3.69MB,0B / 10.9MB,56
12,1776937600523,2026-04-23T09:46:40.523612+00:00,9f919b0315c7,docker-registry-1,0.92,4.96,388.4MiB / 7.653GiB,407266918,8217346179,5.63MB / 3.7MB,0B / 10.9MB,56
13,1776937607596,2026-04-23T09:46:47.596208+00:00,9f919b0315c7,docker-registry-1,1.39,4.96,388.7MiB / 7.653GiB,407581491,8217346179,5.64MB / 3.71MB,0B / 10.9MB,56
14,1776937614644,2026-04-23T09:46:54.644846+00:00,9f919b0315c7,docker-registry-1,1.18,4.96,388.4MiB / 7.653GiB,407266918,8217346179,5.66MB / 3.72MB,0B / 10.9MB,56
15,1776937621712,2026-04-23T09:47:01.712457+00:00,9f919b0315c7,docker-registry-1,0.63,4.96,388.4MiB / 7.653GiB,407266918,8217346179,5.67MB / 3.73MB,0B / 10.9MB,56
16,1776937628776,2026-04-23T09:47:08.776256+00:00,9f919b0315c7,docker-registry-1,1.65,4.96,388.4MiB / 7.653GiB,407266918,8217346179,5.68MB / 3.74MB,0B / 10.9MB,56
17,1776937635858,2026-04-23T09:47:15.858715+00:00,9f919b0315c7,docker-registry-1,0.73,4.96,388.4MiB / 7.653GiB,407266918,8217346179,5.69MB / 3.75MB,0B / 10.9MB,56
