sample_index,timestamp_ms,timestamp_utc,container_id,container_name,cpu_percent,mem_percent,mem_usage_raw,mem_used_bytes,mem_limit_bytes,net_io_raw,block_io_raw,pids
0,1776937515816,2026-04-23T09:45:15.816096+00:00,24025f462381,docker-webui-1,73.75,12.49,978.6MiB / 7.653GiB,1026136473,8217346179,12.8MB / 15.2MB,0B / 32.1MB,251
1,1776937522869,2026-04-23T09:45:22.869320+00:00,24025f462381,docker-webui-1,30.40,12.84,1006MiB / 7.653GiB,1054867456,8217346179,17.2MB / 20.6MB,0B / 32.1MB,251
2,1776937529923,2026-04-23T09:45:29.923499+00:00,24025f462381,docker-webui-1,18.27,13.51,1.034GiB / 7.653GiB,1110249046,8217346179,21.7MB / 25.9MB,0B / 32.5MB,251
3,1776937536981,2026-04-23T09:45:36.981648+00:00,24025f462381,docker-webui-1,16.16,13.59,1.04GiB / 7.653GiB,1116691496,8217346179,23.6MB / 28.1MB,0B / 32.5MB,246
4,1776937544044,2026-04-23T09:45:44.044883+00:00,24025f462381,docker-webui-1,10.04,13.76,1.053GiB / 7.653GiB,1130650140,8217346179,25.6MB / 30.4MB,0B / 32.5MB,235
5,1776937551087,2026-04-23T09:45:51.087104+00:00,24025f462381,docker-webui-1,59.04,13.77,1.054GiB / 7.653GiB,1131723882,8217346179,27MB / 32.1MB,0B / 32.5MB,228
6,1776937558155,2026-04-23T09:45:58.155642+00:00,24025f462381,docker-webui-1,30.46,13.83,1.059GiB / 7.653GiB,1137092591,8217346179,28.8MB / 34.2MB,0B / 32.5MB,226
7,1776937565217,2026-04-23T09:46:05.217272+00:00,24025f462381,docker-webui-1,8.06,13.83,1.059GiB / 7.653GiB,1137092591,8217346179,30.5MB / 36.2MB,0B / 32.5MB,220
8,1776937572281,2026-04-23T09:46:12.281150+00:00,24025f462381,docker-webui-1,13.52,13.87,1.062GiB / 7.653GiB,1140313817,8217346179,33.4MB / 39.5MB,0B / 32.5MB,220
9,1776937579326,2026-04-23T09:46:19.326248+00:00,24025f462381,docker-webui-1,18.09,13.79,1.056GiB / 7.653GiB,1133871366,8217346179,37.9MB / 44.8MB,0B / 32.5MB,220
10,1776937586382,2026-04-23T09:46:26.382773+00:00,24025f462381,docker-webui-1,9.96,13.95,1.068GiB / 7.653GiB,1146756268,8217346179,42.2MB / 49.9MB,0B / 32.5MB,219
11,1776937593456,2026-04-23T09:46:33.456513+00:00,24025f462381,docker-webui-1,11.60,13.74,1.052GiB / 7.653GiB,1129576398,8217346179,45MB / 53.2MB,0B / 32.6MB,221
12,1776937600523,2026-04-23T09:46:40.523612+00:00,24025f462381,docker-webui-1,17.96,13.74,1.052GiB / 7.653GiB,1129576398,8217346179,48.3MB / 57.1MB,0B / 32.6MB,222
13,1776937607596,2026-04-23T09:46:47.596208+00:00,24025f462381,docker-webui-1,11.54,13.77,1.054GiB / 7.653GiB,1131723882,8217346179,50.3MB / 59.4MB,0B / 32.6MB,222
14,1776937614644,2026-04-23T09:46:54.644846+00:00,24025f462381,docker-webui-1,10.14,13.78,1.054GiB / 7.653GiB,1131723882,8217346179,52.3MB / 61.8MB,0B / 32.6MB,220
15,1776937621712,2026-04-23T09:47:01.712457+00:00,24025f462381,docker-webui-1,8.28,13.78,1.054GiB / 7.653GiB,1131723882,8217346179,54.4MB / 64.2MB,0B / 32.6MB,220
16,1776937628776,2026-04-23T09:47:08.776256+00:00,24025f462381,docker-webui-1,10.94,13.78,1.054GiB / 7.653GiB,1131723882,8217346179,56.6MB / 66.7MB,0B / 32.6MB,220
17,1776937635858,2026-04-23T09:47:15.858715+00:00,24025f462381,docker-webui-1,7.77,13.79,1.055GiB / 7.653GiB,1132797624,8217346179,59.2MB / 69.8MB,0B / 32.6MB,220
18,1776937642927,2026-04-23T09:47:22.927250+00:00,24025f462381,docker-webui-1,22.78,13.94,1.067GiB / 7.653GiB,1145682526,8217346179,61.7MB / 72.7MB,0B / 32.6MB,219
19,1776937649982,2026-04-23T09:47:29.982649+00:00,24025f462381,docker-webui-1,11.67,13.95,1.068GiB / 7.653GiB,1146756268,8217346179,64.4MB / 75.9MB,0B / 32.6MB,215
20,1776937657040,2026-04-23T09:47:37.040663+00:00,24025f462381,docker-webui-1,17.71,13.81,1.057GiB / 7.653GiB,1134945107,8217346179,69.2MB / 81.4MB,0B / 32.6MB,219
21,1776937664106,2026-04-23T09:47:44.106719+00:00,24025f462381,docker-webui-1,16.96,13.82,1.057GiB / 7.653GiB,1134945107,8217346179,74.3MB / 87.5MB,0B / 32.6MB,220
22,1776937671179,2026-04-23T09:47:51.179814+00:00,24025f462381,docker-webui-1,9.37,13.78,1.054GiB / 7.653GiB,1131723882,8217346179,77.9MB / 91.7MB,0B / 32.6MB,221
23,1776937678249,2026-04-23T09:47:58.249856+00:00,24025f462381,docker-webui-1,19.66,13.84,1.059GiB / 7.653GiB,1137092591,8217346179,82.5MB / 97MB,0B / 32.6MB,223
24,1776937685342,2026-04-23T09:48:05.342384+00:00,24025f462381,docker-webui-1,13.60,13.85,1.06GiB / 7.653GiB,1138166333,8217346179,86.5MB / 102MB,0B / 32.6MB,226
25,1776937692398,2026-04-23T09:48:12.398679+00:00,24025f462381,docker-webui-1,9.52,13.85,1.06GiB / 7.653GiB,1138166333,8217346179,88.2MB / 104MB,0B / 32.6MB,226
26,1776937699472,2026-04-23T09:48:19.472098+00:00,24025f462381,docker-webui-1,19.99,13.85,1.06GiB / 7.653GiB,1138166333,8217346179,91MB / 107MB,0B / 32.6MB,226
27,1776937706547,2026-04-23T09:48:26.547139+00:00,24025f462381,docker-webui-1,15.98,13.85,1.06GiB / 7.653GiB,1138166333,8217346179,93.8MB / 110MB,0B / 32.6MB,226
28,1776937713605,2026-04-23T09:48:33.605313+00:00,24025f462381,docker-webui-1,9.59,13.85,1.06GiB / 7.653GiB,1138166333,8217346179,97.9MB / 115MB,0B / 32.6MB,226
29,1776937720671,2026-04-23T09:48:40.671049+00:00,24025f462381,docker-webui-1,15.48,13.86,1.06GiB / 7.653GiB,1138166333,8217346179,101MB / 118MB,0B / 32.6MB,225
30,1776937727736,2026-04-23T09:48:47.736229+00:00,24025f462381,docker-webui-1,6.16,13.85,1.06GiB / 7.653GiB,1138166333,8217346179,104MB / 121MB,0B / 32.6MB,222
31,1776937734814,2026-04-23T09:48:54.814638+00:00,24025f462381,docker-webui-1,16.84,13.85,1.06GiB / 7.653GiB,1138166333,8217346179,106MB / 125MB,0B / 32.6MB,222
32,1776937741873,2026-04-23T09:49:01.873775+00:00,24025f462381,docker-webui-1,14.09,13.90,1.064GiB / 7.653GiB,1142461300,8217346179,108MB / 127MB,0B / 32.6MB,217
33,1776937748940,2026-04-23T09:49:08.940184+00:00,24025f462381,docker-webui-1,11.75,13.90,1.064GiB / 7.653GiB,1142461300,8217346179,111MB / 130MB,0B / 32.6MB,216
34,1776937756042,2026-04-23T09:49:16.042659+00:00,24025f462381,docker-webui-1,10.25,13.84,1.059GiB / 7.653GiB,1137092591,8217346179,114MB / 134MB,0B / 32.6MB,216
35,1776937763116,2026-04-23T09:49:23.116221+00:00,24025f462381,docker-webui-1,12.17,13.81,1.057GiB / 7.653GiB,1134945107,8217346179,119MB / 139MB,0B / 32.6MB,224
36,1776937770207,2026-04-23T09:49:30.207926+00:00,24025f462381,docker-webui-1,4.62,13.81,1.057GiB / 7.653GiB,1134945107,8217346179,119MB / 140MB,0B / 32.6MB,224
37,1776937777308,2026-04-23T09:49:37.308064+00:00,24025f462381,docker-webui-1,3.65,13.81,1.057GiB / 7.653GiB,1134945107,8217346179,119MB / 140MB,0B / 32.7MB,224
38,1776937784366,2026-04-23T09:49:44.366034+00:00,24025f462381,docker-webui-1,14.43,13.81,1.057GiB / 7.653GiB,1134945107,8217346179,122MB / 143MB,0B / 32.7MB,224
39,1776937791414,2026-04-23T09:49:51.414039+00:00,24025f462381,docker-webui-1,18.61,13.83,1.058GiB / 7.653GiB,1136018849,8217346179,127MB / 149MB,0B / 32.7MB,224
40,1776937798487,2026-04-23T09:49:58.487770+00:00,24025f462381,docker-webui-1,8.65,13.97,1.069GiB / 7.653GiB,1147830009,8217346179,130MB / 153MB,0B / 32.7MB,224
41,1776937805538,2026-04-23T09:50:05.538539+00:00,24025f462381,docker-webui-1,14.03,13.98,1.07GiB / 7.653GiB,1148903751,8217346179,132MB / 155MB,0B / 32.7MB,224
42,1776937812600,2026-04-23T09:50:12.600993+00:00,24025f462381,docker-webui-1,10.26,13.81,1.057GiB / 7.653GiB,1134945107,8217346179,136MB / 160MB,0B / 32.7MB,224
