window_index,start_ms,end_ms,samples,successes,failures,error_rate_pct,throughput_rps,success_avg_ms,success_min_ms,success_p95_ms,success_max_ms,failed_avg_ms,failed_min_ms,failed_p95_ms,failed_max_ms,all_avg_ms
0,1776937392375,1776937402375,50,50,0,0.00,5.00,5092.52,496,10305,10455,0.00,0,0,0,5092.52
1,1776937402375,1776937412375,10,7,3,30.00,1.00,7607.86,7453,7923,7923,3473.33,3365,3560,3560,6367.50
2,1776937412375,1776937422375,40,40,0,0.00,4.00,3528.30,177,7351,7661,0.00,0,0,0,3528.30
3,1776937422375,1776937432375,103,103,0,0.00,10.30,1036.91,83,2413,4157,0.00,0,0,0,1036.91
4,1776937432375,1776937442375,218,218,0,0.00,21.80,606.76,60,1666,2788,0.00,0,0,0,606.76
5,1776937442375,1776937452375,250,250,0,0.00,25.00,603.26,51,1289,2530,0.00,0,0,0,603.26
6,1776937452375,1776937462375,188,188,0,0.00,18.80,817.34,48,2300,6120,0.00,0,0,0,817.34
7,1776937462375,1776937472375,105,105,0,0.00,10.50,1524.03,222,4430,5743,0.00,0,0,0,1524.03
8,1776937472375,1776937482375,87,87,0,0.00,8.70,1698.46,158,7632,10689,0.00,0,0,0,1698.46
9,1776937482375,1776937492375,117,117,0,0.00,11.70,1150.97,142,3699,5422,0.00,0,0,0,1150.97
10,1776937492375,1776937502375,156,156,0,0.00,15.60,789.69,67,2304,4297,0.00,0,0,0,789.69
11,1776937502375,1776937512375,264,264,0,0.00,26.40,590.49,109,1466,3437,0.00,0,0,0,590.49
12,1776937512375,1776937522375,159,159,0,0.00,15.90,921.58,58,2750,5183,0.00,0,0,0,921.58
13,1776937522375,1776937532375,174,174,0,0.00,17.40,851.84,88,2158,6548,0.00,0,0,0,851.84
14,1776937532375,1776937542375,109,109,0,0.00,10.90,1320.47,230,3861,6970,0.00,0,0,0,1320.47
15,1776937542375,1776937552375,98,98,0,0.00,9.80,1659.88,156,4632,6824,0.00,0,0,0,1659.88
16,1776937552375,1776937562375,145,145,0,0.00,14.50,851.26,67,2573,5026,0.00,0,0,0,851.26
17,1776937562375,1776937572375,118,118,0,0.00,11.80,1146.89,67,2933,5071,0.00,0,0,0,1146.89
18,1776937572375,1776937582375,236,236,0,0.00,23.60,617.06,44,1785,3301,0.00,0,0,0,617.06
19,1776937582375,1776937592375,266,266,0,0.00,26.60,592.47,69,1175,1997,0.00,0,0,0,592.47
20,1776937592375,1776937602375,191,191,0,0.00,19.10,815.55,20,1927,3430,0.00,0,0,0,815.55
21,1776937602375,1776937612375,259,259,0,0.00,25.90,674.97,65,1944,3689,0.00,0,0,0,674.97
22,1776937612375,1776937622375,125,125,0,0.00,12.50,1113.50,241,2994,5252,0.00,0,0,0,1113.50
23,1776937622375,1776937632375,112,112,0,0.00,11.20,1221.66,109,3928,6037,0.00,0,0,0,1221.66
24,1776937632375,1776937642375,232,232,0,0.00,23.20,672.68,84,1618,2712,0.00,0,0,0,672.68
25,1776937642375,1776937652375,159,159,0,0.00,15.90,1006.12,162,2252,3726,0.00,0,0,0,1006.12
26,1776937652375,1776937662375,125,125,0,0.00,12.50,1225.77,133,2779,3447,0.00,0,0,0,1225.77
27,1776937662375,1776937672375,120,120,0,0.00,12.00,1277.85,174,3269,5065,0.00,0,0,0,1277.85
28,1776937672375,1776937682375,167,167,0,0.00,16.70,813.34,95,2054,3256,0.00,0,0,0,813.34
29,1776937682375,1776937692375,240,240,0,0.00,24.00,617.19,63,1909,2883,0.00,0,0,0,617.19
31,1776937702375,1776937712375,78,78,0,0.00,7.80,918.59,56,3544,3988,0.00,0,0,0,918.59
32,1776937712375,1776937722375,274,274,0,0.00,27.40,536.84,67,1319,3046,0.00,0,0,0,536.84
33,1776937722375,1776937732375,119,119,0,0.00,11.90,1319.09,107,4485,6015,0.00,0,0,0,1319.09
34,1776937732375,1776937742375,212,212,0,0.00,21.20,672.92,17,1591,2707,0.00,0,0,0,672.92
35,1776937742375,1776937752375,205,205,0,0.00,20.50,683.51,55,1647,3227,0.00,0,0,0,683.51
36,1776937752375,1776937762375,258,258,0,0.00,25.80,624.73,13,1751,3975,0.00,0,0,0,624.73
37,1776937762375,1776937772375,309,309,0,0.00,30.90,484.74,38,981,1463,0.00,0,0,0,484.74
38,1776937772375,1776937782375,207,207,0,0.00,20.70,775.01,31,1856,5359,0.00,0,0,0,775.01
39,1776937782375,1776937792375,149,149,0,0.00,14.90,1059.33,147,2494,3813,0.00,0,0,0,1059.33
40,1776937792375,1776937802375,143,143,0,0.00,14.30,1089.27,150,3265,4024,0.00,0,0,0,1089.27
41,1776937802375,1776937812375,143,143,0,0.00,14.30,984.92,45,3307,4678,0.00,0,0,0,984.92
42,1776937812375,1776937822375,118,118,0,0.00,11.80,1104.69,103,2641,6309,0.00,0,0,0,1104.69
43,1776937822375,1776937832375,197,197,0,0.00,19.70,698.26,69,2086,4515,0.00,0,0,0,698.26
44,1776937832375,1776937842375,324,324,0,0.00,32.40,482.24,46,1243,3153,0.00,0,0,0,482.24
45,1776937842375,1776937852375,238,238,0,0.00,23.80,716.74,74,1879,3673,0.00,0,0,0,716.74
46,1776937852375,1776937862375,143,143,0,0.00,14.30,1157.85,166,3029,5833,0.00,0,0,0,1157.85
47,1776937862375,1776937872375,262,262,0,0.00,26.20,507.86,22,1550,2443,0.00,0,0,0,507.86
48,1776937872375,1776937882375,251,251,0,0.00,25.10,610.05,52,1595,3255,0.00,0,0,0,610.05
49,1776937882375,1776937892375,264,264,0,0.00,26.40,559.00,87,1440,3623,0.00,0,0,0,559.00
50,1776937892375,1776937902375,337,337,0,0.00,33.70,440.76,14,981,3124,0.00,0,0,0,440.76
51,1776937902375,1776937912375,250,250,0,0.00,25.00,610.04,19,1461,2825,0.00,0,0,0,610.04
52,1776937912375,1776937922375,285,285,0,0.00,28.50,564.27,22,1196,2042,0.00,0,0,0,564.27
53,1776937922375,1776937932375,354,354,0,0.00,35.40,443.87,57,1061,2275,0.00,0,0,0,443.87
54,1776937932375,1776937942375,227,227,0,0.00,22.70,647.76,45,1551,3634,0.00,0,0,0,647.76
55,1776937942375,1776937952375,183,183,0,0.00,18.30,979.07,29,3223,7291,0.00,0,0,0,979.07
56,1776937952375,1776937962375,91,91,0,0.00,9.10,1371.46,139,4039,7156,0.00,0,0,0,1371.46
57,1776937962375,1776937972375,102,102,0,0.00,10.20,1370.47,57,4725,10831,0.00,0,0,0,1370.47
58,1776937972375,1776937982375,117,117,0,0.00,11.70,1178.70,179,2975,3637,0.00,0,0,0,1178.70
