sample_index,timestamp_ms,timestamp_utc,container_id,container_name,cpu_percent,mem_percent,mem_usage_raw,mem_used_bytes,mem_limit_bytes,net_io_raw,block_io_raw,pids
0,1776951183685,2026-04-23T13:33:03.685774+00:00,2553add0eb44,docker-auth-1,2.97,11.59,908.2MiB / 7.653GiB,952316723,8217346179,101MB / 67.3MB,0B / 33MB,126
1,1776951190777,2026-04-23T13:33:10.777611+00:00,2553add0eb44,docker-auth-1,4.91,11.63,911.3MiB / 7.653GiB,955567308,8217346179,101MB / 67.4MB,0B / 33MB,126
2,1776951197835,2026-04-23T13:33:17.835783+00:00,2553add0eb44,docker-auth-1,5.87,11.67,914.4MiB / 7.653GiB,958817894,8217346179,101MB / 67.4MB,0B / 33MB,126
3,1776951204900,2026-04-23T13:33:24.900434+00:00,2553add0eb44,docker-auth-1,4.59,11.69,916MiB / 7.653GiB,960495616,8217346179,101MB / 67.5MB,0B / 33MB,127
4,1776951211951,2026-04-23T13:33:31.951601+00:00,2553add0eb44,docker-auth-1,6.11,11.72,918.4MiB / 7.653GiB,963012198,8217346179,102MB / 67.6MB,0B / 33MB,127
5,1776951219018,2026-04-23T13:33:39.018508+00:00,2553add0eb44,docker-auth-1,8.55,11.75,920.9MiB / 7.653GiB,965633638,8217346179,102MB / 67.7MB,0B / 33MB,127
6,1776951226081,2026-04-23T13:33:46.081076+00:00,2553add0eb44,docker-auth-1,14.68,11.82,926.6MiB / 7.653GiB,971610521,8217346179,102MB / 67.8MB,0B / 33MB,127
7,1776951233138,2026-04-23T13:33:53.138387+00:00,2553add0eb44,docker-auth-1,7.03,11.86,929.6MiB / 7.653GiB,974756249,8217346179,102MB / 67.9MB,0B / 33MB,127
8,1776951240194,2026-04-23T13:34:00.194673+00:00,2553add0eb44,docker-auth-1,13.04,11.89,931.5MiB / 7.653GiB,976748544,8217346179,102MB / 68.1MB,0B / 33MB,127
9,1776951247234,2026-04-23T13:34:07.234529+00:00,2553add0eb44,docker-auth-1,13.74,11.91,933.5MiB / 7.653GiB,978845696,8217346179,103MB / 68.2MB,0B / 33MB,127
