sample_index,timestamp_ms,timestamp_utc,container_id,container_name,cpu_percent,mem_percent,mem_usage_raw,mem_used_bytes,mem_limit_bytes,net_io_raw,block_io_raw,pids
0,1776951183685,2026-04-23T13:33:03.685774+00:00,eaf29550fd31,docker-image-1,3.88,10.25,803.1MiB / 7.653GiB,842111385,8217346179,48.2MB / 834MB,0B / 69.6MB,151
1,1776951190777,2026-04-23T13:33:10.777611+00:00,eaf29550fd31,docker-image-1,6.97,10.25,803.1MiB / 7.653GiB,842111385,8217346179,48.3MB / 837MB,0B / 69.6MB,151
2,1776951197835,2026-04-23T13:33:17.835783+00:00,eaf29550fd31,docker-image-1,6.04,10.25,803.1MiB / 7.653GiB,842111385,8217346179,48.3MB / 839MB,0B / 69.6MB,151
3,1776951204900,2026-04-23T13:33:24.900434+00:00,eaf29550fd31,docker-image-1,9.20,10.25,803.1MiB / 7.653GiB,842111385,8217346179,48.4MB / 842MB,0B / 69.6MB,151
4,1776951211951,2026-04-23T13:33:31.951601+00:00,eaf29550fd31,docker-image-1,4.16,10.25,803.1MiB / 7.653GiB,842111385,8217346179,48.5MB / 845MB,0B / 69.6MB,151
5,1776951219018,2026-04-23T13:33:39.018508+00:00,eaf29550fd31,docker-image-1,4.14,10.25,803.1MiB / 7.653GiB,842111385,8217346179,48.6MB / 849MB,0B / 69.6MB,151
6,1776951226081,2026-04-23T13:33:46.081076+00:00,eaf29550fd31,docker-image-1,5.17,10.25,803.2MiB / 7.653GiB,842216243,8217346179,48.8MB / 854MB,0B / 69.6MB,151
7,1776951233138,2026-04-23T13:33:53.138387+00:00,eaf29550fd31,docker-image-1,8.53,10.25,803.4MiB / 7.653GiB,842425958,8217346179,48.9MB / 859MB,0B / 69.6MB,151
8,1776951240194,2026-04-23T13:34:00.194673+00:00,eaf29550fd31,docker-image-1,5.08,10.25,803.2MiB / 7.653GiB,842216243,8217346179,49.1MB / 864MB,0B / 69.6MB,151
9,1776951247234,2026-04-23T13:34:07.234529+00:00,eaf29550fd31,docker-image-1,17.91,10.25,803.2MiB / 7.653GiB,842216243,8217346179,49.2MB / 871MB,0B / 69.7MB,151
10,1776951254278,2026-04-23T13:34:14.278810+00:00,eaf29550fd31,docker-image-1,4.90,10.25,803.2MiB / 7.653GiB,842216243,8217346179,49.4MB / 876MB,0B / 69.7MB,151
11,1776951261340,2026-04-23T13:34:21.340381+00:00,eaf29550fd31,docker-image-1,6.17,10.25,803.2MiB / 7.653GiB,842216243,8217346179,49.5MB / 881MB,0B / 69.7MB,151
12,1776951268388,2026-04-23T13:34:28.388811+00:00,eaf29550fd31,docker-image-1,5.12,10.25,803.2MiB / 7.653GiB,842216243,8217346179,49.6MB / 882MB,0B / 69.7MB,151
13,1776951275453,2026-04-23T13:34:35.453552+00:00,eaf29550fd31,docker-image-1,5.67,10.27,804.5MiB / 7.653GiB,843579392,8217346179,49.7MB / 884MB,0B / 69.7MB,151
14,1776951282516,2026-04-23T13:34:42.516055+00:00,eaf29550fd31,docker-image-1,6.13,10.25,803.2MiB / 7.653GiB,842216243,8217346179,49.7MB / 887MB,0B / 69.7MB,151
15,1776951289590,2026-04-23T13:34:49.590711+00:00,eaf29550fd31,docker-image-1,7.29,10.25,803.2MiB / 7.653GiB,842216243,8217346179,49.9MB / 892MB,0B / 69.7MB,151
16,1776951296652,2026-04-23T13:34:56.652679+00:00,eaf29550fd31,docker-image-1,3.35,10.25,803.2MiB / 7.653GiB,842216243,8217346179,50MB / 895MB,0B / 69.7MB,151
17,1776951303724,2026-04-23T13:35:03.724843+00:00,eaf29550fd31,docker-image-1,7.51,10.25,803.2MiB / 7.653GiB,842216243,8217346179,50.1MB / 900MB,0B / 69.7MB,151
18,1776951310783,2026-04-23T13:35:10.783497+00:00,eaf29550fd31,docker-image-1,6.83,10.25,803.2MiB / 7.653GiB,842216243,8217346179,50.3MB / 905MB,0B / 69.7MB,151
19,1776951317837,2026-04-23T13:35:17.837997+00:00,eaf29550fd31,docker-image-1,19.66,10.25,803.3MiB / 7.653GiB,842321100,8217346179,50.4MB / 912MB,0B / 69.7MB,151
20,1776951324880,2026-04-23T13:35:24.880802+00:00,eaf29550fd31,docker-image-1,7.60,10.25,803.3MiB / 7.653GiB,842321100,8217346179,50.6MB / 916MB,0B / 69.7MB,151
21,1776951331924,2026-04-23T13:35:31.924602+00:00,eaf29550fd31,docker-image-1,2.33,10.25,803.2MiB / 7.653GiB,842216243,8217346179,50.7MB / 922MB,0B / 69.7MB,151
22,1776951338980,2026-04-23T13:35:38.980509+00:00,eaf29550fd31,docker-image-1,1.92,10.25,803.2MiB / 7.653GiB,842216243,8217346179,50.8MB / 926MB,0B / 69.7MB,151
23,1776951346054,2026-04-23T13:35:46.054527+00:00,eaf29550fd31,docker-image-1,20.24,10.25,803.4MiB / 7.653GiB,842425958,8217346179,51MB / 931MB,0B / 69.7MB,152
24,1776951353143,2026-04-23T13:35:53.143701+00:00,eaf29550fd31,docker-image-1,5.02,10.26,804.1MiB / 7.653GiB,843159961,8217346179,51.1MB / 933MB,0B / 69.7MB,152
25,1776951360226,2026-04-23T13:36:00.226341+00:00,eaf29550fd31,docker-image-1,4.30,10.25,803.4MiB / 7.653GiB,842425958,8217346179,51.1MB / 935MB,0B / 69.7MB,152
26,1776951367306,2026-04-23T13:36:07.306255+00:00,eaf29550fd31,docker-image-1,2.92,10.25,803.4MiB / 7.653GiB,842425958,8217346179,51.2MB / 939MB,0B / 69.7MB,152
27,1776951374366,2026-04-23T13:36:14.366651+00:00,eaf29550fd31,docker-image-1,4.70,10.25,803.4MiB / 7.653GiB,842425958,8217346179,51.4MB / 943MB,0B / 69.7MB,152
28,1776951381410,2026-04-23T13:36:21.410275+00:00,eaf29550fd31,docker-image-1,9.70,10.25,803.4MiB / 7.653GiB,842425958,8217346179,51.5MB / 947MB,0B / 69.7MB,152
29,1776951388479,2026-04-23T13:36:28.479818+00:00,eaf29550fd31,docker-image-1,3.82,10.25,803.4MiB / 7.653GiB,842425958,8217346179,51.6MB / 951MB,0B / 69.7MB,152
30,1776951395529,2026-04-23T13:36:35.529857+00:00,eaf29550fd31,docker-image-1,5.92,10.25,803.4MiB / 7.653GiB,842425958,8217346179,51.8MB / 958MB,0B / 69.7MB,152
31,1776951402583,2026-04-23T13:36:42.583218+00:00,eaf29550fd31,docker-image-1,7.52,10.26,803.9MiB / 7.653GiB,842950246,8217346179,51.9MB / 963MB,0B / 69.7MB,152
32,1776951409653,2026-04-23T13:36:49.653986+00:00,eaf29550fd31,docker-image-1,3.26,10.25,803.6MiB / 7.653GiB,842635673,8217346179,52MB / 967MB,0B / 69.7MB,152
33,1776951416725,2026-04-23T13:36:56.725390+00:00,eaf29550fd31,docker-image-1,4.93,10.28,805.4MiB / 7.653GiB,844523110,8217346179,52.1MB / 968MB,0B / 69.7MB,152
34,1776951423785,2026-04-23T13:37:03.785940+00:00,eaf29550fd31,docker-image-1,6.84,10.25,803.6MiB / 7.653GiB,842635673,8217346179,52.2MB / 972MB,0B / 69.7MB,152
35,1776951430855,2026-04-23T13:37:10.855018+00:00,eaf29550fd31,docker-image-1,4.66,10.25,803.6MiB / 7.653GiB,842635673,8217346179,52.3MB / 976MB,0B / 69.8MB,152
