sample_index,timestamp_ms,timestamp_utc,container_id,container_name,cpu_percent,mem_percent,mem_usage_raw,mem_used_bytes,mem_limit_bytes,net_io_raw,block_io_raw,pids
0,1776951183685,2026-04-23T13:33:03.685774+00:00,9caace330afe,docker-persistence-1,7.19,11.96,937.6MiB / 7.653GiB,983144857,8217346179,113MB / 97.8MB,0B / 43.7MB,65
1,1776951190777,2026-04-23T13:33:10.777611+00:00,9caace330afe,docker-persistence-1,14.82,11.96,937.6MiB / 7.653GiB,983144857,8217346179,114MB / 98MB,0B / 43.7MB,65
2,1776951197835,2026-04-23T13:33:17.835783+00:00,9caace330afe,docker-persistence-1,4.56,11.96,937.5MiB / 7.653GiB,983040000,8217346179,114MB / 98.2MB,0B / 43.7MB,65
3,1776951204900,2026-04-23T13:33:24.900434+00:00,9caace330afe,docker-persistence-1,7.71,11.97,937.7MiB / 7.653GiB,983249715,8217346179,114MB / 98.4MB,0B / 43.7MB,65
4,1776951211951,2026-04-23T13:33:31.951601+00:00,9caace330afe,docker-persistence-1,6.63,11.97,938MiB / 7.653GiB,983564288,8217346179,114MB / 98.7MB,0B / 43.7MB,65
5,1776951219018,2026-04-23T13:33:39.018508+00:00,9caace330afe,docker-persistence-1,8.91,11.97,938MiB / 7.653GiB,983564288,8217346179,115MB / 99MB,0B / 43.7MB,65
6,1776951226081,2026-04-23T13:33:46.081076+00:00,9caace330afe,docker-persistence-1,8.63,11.97,938MiB / 7.653GiB,983564288,8217346179,115MB / 99.4MB,0B / 43.7MB,65
7,1776951233138,2026-04-23T13:33:53.138387+00:00,9caace330afe,docker-persistence-1,9.25,11.97,938.1MiB / 7.653GiB,983669145,8217346179,116MB / 99.9MB,0B / 43.8MB,65
8,1776951240194,2026-04-23T13:34:00.194673+00:00,9caace330afe,docker-persistence-1,6.51,11.97,938.3MiB / 7.653GiB,983878860,8217346179,116MB / 100MB,0B / 43.8MB,65
9,1776951247234,2026-04-23T13:34:07.234529+00:00,9caace330afe,docker-persistence-1,18.90,11.97,938.1MiB / 7.653GiB,983669145,8217346179,117MB / 101MB,0B / 43.8MB,65
10,1776951254278,2026-04-23T13:34:14.278810+00:00,9caace330afe,docker-persistence-1,8.60,11.97,938MiB / 7.653GiB,983564288,8217346179,117MB / 101MB,0B / 43.8MB,65
11,1776951261340,2026-04-23T13:34:21.340381+00:00,9caace330afe,docker-persistence-1,3.50,11.97,938MiB / 7.653GiB,983564288,8217346179,117MB / 102MB,0B / 43.8MB,65
12,1776951268388,2026-04-23T13:34:28.388811+00:00,9caace330afe,docker-persistence-1,4.63,11.97,938MiB / 7.653GiB,983564288,8217346179,117MB / 102MB,0B / 43.8MB,65
13,1776951275453,2026-04-23T13:34:35.453552+00:00,9caace330afe,docker-persistence-1,5.46,11.97,938MiB / 7.653GiB,983564288,8217346179,118MB / 102MB,0B / 43.8MB,65
14,1776951282516,2026-04-23T13:34:42.516055+00:00,9caace330afe,docker-persistence-1,7.81,11.97,938MiB / 7.653GiB,983564288,8217346179,118MB / 102MB,0B / 43.8MB,65
15,1776951289590,2026-04-23T13:34:49.590711+00:00,9caace330afe,docker-persistence-1,6.45,11.97,938MiB / 7.653GiB,983564288,8217346179,118MB / 103MB,0B / 43.8MB,65
16,1776951296652,2026-04-23T13:34:56.652679+00:00,9caace330afe,docker-persistence-1,3.08,11.97,938MiB / 7.653GiB,983564288,8217346179,119MB / 103MB,0B / 43.8MB,65
17,1776951303724,2026-04-23T13:35:03.724843+00:00,9caace330afe,docker-persistence-1,8.29,11.97,938MiB / 7.653GiB,983564288,8217346179,119MB / 103MB,0B / 43.8MB,65
