sample_index,timestamp_ms,timestamp_utc,container_id,container_name,cpu_percent,mem_percent,mem_usage_raw,mem_used_bytes,mem_limit_bytes,net_io_raw,block_io_raw,pids
0,1776951183685,2026-04-23T13:33:03.685774+00:00,047bb8dbb031,docker-recommender-1,5.31,7.46,584.8MiB / 7.653GiB,613207244,8217346179,8.37MB / 9.29MB,0B / 33MB,136
1,1776951190777,2026-04-23T13:33:10.777611+00:00,047bb8dbb031,docker-recommender-1,3.57,7.39,578.8MiB / 7.653GiB,606915788,8217346179,8.39MB / 9.31MB,0B / 33MB,136
2,1776951197835,2026-04-23T13:33:17.835783+00:00,047bb8dbb031,docker-recommender-1,1.36,7.36,576.8MiB / 7.653GiB,604818636,8217346179,8.4MB / 9.32MB,0B / 33MB,136
3,1776951204900,2026-04-23T13:33:24.900434+00:00,047bb8dbb031,docker-recommender-1,8.37,7.36,576.8MiB / 7.653GiB,604818636,8217346179,8.42MB / 9.33MB,0B / 33MB,136
4,1776951211951,2026-04-23T13:33:31.951601+00:00,047bb8dbb031,docker-recommender-1,4.38,7.36,576.8MiB / 7.653GiB,604818636,8217346179,8.44MB / 9.34MB,0B / 33MB,136
5,1776951219018,2026-04-23T13:33:39.018508+00:00,047bb8dbb031,docker-recommender-1,2.84,7.36,576.8MiB / 7.653GiB,604818636,8217346179,8.46MB / 9.35MB,0B / 33MB,136
6,1776951226081,2026-04-23T13:33:46.081076+00:00,047bb8dbb031,docker-recommender-1,2.96,7.36,576.8MiB / 7.653GiB,604818636,8217346179,8.49MB / 9.37MB,0B / 33MB,136
7,1776951233138,2026-04-23T13:33:53.138387+00:00,047bb8dbb031,docker-recommender-1,4.92,7.51,588.8MiB / 7.653GiB,617401548,8217346179,8.53MB / 9.39MB,0B / 33.1MB,136
8,1776951240194,2026-04-23T13:34:00.194673+00:00,047bb8dbb031,docker-recommender-1,2.54,7.51,588.8MiB / 7.653GiB,617401548,8217346179,8.56MB / 9.41MB,0B / 33.1MB,136
9,1776951247234,2026-04-23T13:34:07.234529+00:00,047bb8dbb031,docker-recommender-1,2.90,7.51,588.8MiB / 7.653GiB,617401548,8217346179,8.6MB / 9.43MB,0B / 33.1MB,136
10,1776951254278,2026-04-23T13:34:14.278810+00:00,047bb8dbb031,docker-recommender-1,1.69,7.36,576.8MiB / 7.653GiB,604818636,8217346179,8.63MB / 9.45MB,0B / 33.1MB,136
11,1776951261340,2026-04-23T13:34:21.340381+00:00,047bb8dbb031,docker-recommender-1,6.79,7.36,577.1MiB / 7.653GiB,605133209,8217346179,8.66MB / 9.47MB,0B / 33.1MB,136
12,1776951268388,2026-04-23T13:34:28.388811+00:00,047bb8dbb031,docker-recommender-1,3.81,7.36,576.8MiB / 7.653GiB,604818636,8217346179,8.67MB / 9.48MB,0B / 33.1MB,136
13,1776951275453,2026-04-23T13:34:35.453552+00:00,047bb8dbb031,docker-recommender-1,2.31,7.36,576.8MiB / 7.653GiB,604818636,8217346179,8.69MB / 9.49MB,0B / 33.1MB,136
14,1776951282516,2026-04-23T13:34:42.516055+00:00,047bb8dbb031,docker-recommender-1,6.01,7.36,576.8MiB / 7.653GiB,604818636,8217346179,8.7MB / 9.5MB,0B / 33.1MB,136
15,1776951289590,2026-04-23T13:34:49.590711+00:00,047bb8dbb031,docker-recommender-1,15.99,7.36,576.9MiB / 7.653GiB,604923494,8217346179,8.74MB / 9.52MB,0B / 33.1MB,136
16,1776951296652,2026-04-23T13:34:56.652679+00:00,047bb8dbb031,docker-recommender-1,10.17,7.36,576.9MiB / 7.653GiB,604923494,8217346179,8.75MB / 9.53MB,0B / 33.1MB,136
17,1776951303724,2026-04-23T13:35:03.724843+00:00,047bb8dbb031,docker-recommender-1,7.28,7.36,576.9MiB / 7.653GiB,604923494,8217346179,8.78MB / 9.55MB,0B / 33.1MB,136
18,1776951310783,2026-04-23T13:35:10.783497+00:00,047bb8dbb031,docker-recommender-1,3.42,7.46,584.9MiB / 7.653GiB,613312102,8217346179,8.81MB / 9.56MB,0B / 33.1MB,136
19,1776951317837,2026-04-23T13:35:17.837997+00:00,047bb8dbb031,docker-recommender-1,4.28,7.44,583MiB / 7.653GiB,611319808,8217346179,8.85MB / 9.59MB,0B / 33.1MB,136
20,1776951324880,2026-04-23T13:35:24.880802+00:00,047bb8dbb031,docker-recommender-1,4.93,7.44,583MiB / 7.653GiB,611319808,8217346179,8.88MB / 9.6MB,0B / 33.1MB,136
21,1776951331924,2026-04-23T13:35:31.924602+00:00,047bb8dbb031,docker-recommender-1,8.34,7.45,584MiB / 7.653GiB,612368384,8217346179,8.92MB / 9.62MB,0B / 33.1MB,136
22,1776951338980,2026-04-23T13:35:38.980509+00:00,047bb8dbb031,docker-recommender-1,2.26,7.44,583.2MiB / 7.653GiB,611529523,8217346179,8.94MB / 9.64MB,0B / 33.1MB,136
23,1776951346054,2026-04-23T13:35:46.054527+00:00,047bb8dbb031,docker-recommender-1,4.34,7.37,577.2MiB / 7.653GiB,605238067,8217346179,8.97MB / 9.66MB,0B / 33.1MB,136
24,1776951353143,2026-04-23T13:35:53.143701+00:00,047bb8dbb031,docker-recommender-1,4.49,7.37,577.2MiB / 7.653GiB,605238067,8217346179,8.99MB / 9.67MB,0B / 33.1MB,136
25,1776951360226,2026-04-23T13:36:00.226341+00:00,047bb8dbb031,docker-recommender-1,1.28,7.37,577.2MiB / 7.653GiB,605238067,8217346179,9MB / 9.67MB,0B / 33.1MB,136
26,1776951367306,2026-04-23T13:36:07.306255+00:00,047bb8dbb031,docker-recommender-1,5.16,7.37,577.2MiB / 7.653GiB,605238067,8217346179,9.02MB / 9.69MB,0B / 33.1MB,136
27,1776951374366,2026-04-23T13:36:14.366651+00:00,047bb8dbb031,docker-recommender-1,4.99,7.37,577.2MiB / 7.653GiB,605238067,8217346179,9.05MB / 9.7MB,0B / 33.1MB,136
28,1776951381410,2026-04-23T13:36:21.410275+00:00,047bb8dbb031,docker-recommender-1,1.81,7.47,585.5MiB / 7.653GiB,613941248,8217346179,9.07MB / 9.72MB,0B / 33.1MB,136
29,1776951388479,2026-04-23T13:36:28.479818+00:00,047bb8dbb031,docker-recommender-1,3.04,7.47,585.2MiB / 7.653GiB,613626675,8217346179,9.1MB / 9.74MB,0B / 33.1MB,136
30,1776951395529,2026-04-23T13:36:35.529857+00:00,047bb8dbb031,docker-recommender-1,2.85,7.47,585.2MiB / 7.653GiB,613626675,8217346179,9.14MB / 9.76MB,0B / 33.1MB,136
31,1776951402583,2026-04-23T13:36:42.583218+00:00,047bb8dbb031,docker-recommender-1,3.67,7.47,585.2MiB / 7.653GiB,613626675,8217346179,9.17MB / 9.78MB,0B / 33.1MB,136
32,1776951409653,2026-04-23T13:36:49.653986+00:00,047bb8dbb031,docker-recommender-1,2.75,7.37,577.2MiB / 7.653GiB,605238067,8217346179,9.19MB / 9.79MB,0B / 33.1MB,136
