sample_index,timestamp_ms,timestamp_utc,container_id,container_name,cpu_percent,mem_percent,mem_usage_raw,mem_used_bytes,mem_limit_bytes,net_io_raw,block_io_raw,pids
0,1776951183685,2026-04-23T13:33:03.685774+00:00,9f919b0315c7,docker-registry-1,1.51,5.32,417.3MiB / 7.653GiB,437570764,8217346179,31.9MB / 21MB,0B / 18.1MB,56
1,1776951190777,2026-04-23T13:33:10.777611+00:00,9f919b0315c7,docker-registry-1,0.95,5.32,417.3MiB / 7.653GiB,437570764,8217346179,31.9MB / 21MB,0B / 18.1MB,56
2,1776951197835,2026-04-23T13:33:17.835783+00:00,9f919b0315c7,docker-registry-1,1.44,5.32,417.3MiB / 7.653GiB,437570764,8217346179,31.9MB / 21MB,0B / 18.1MB,56
3,1776951204900,2026-04-23T13:33:24.900434+00:00,9f919b0315c7,docker-registry-1,1.08,5.33,417.5MiB / 7.653GiB,437780480,8217346179,31.9MB / 21MB,0B / 18.1MB,56
4,1776951211951,2026-04-23T13:33:31.951601+00:00,9f919b0315c7,docker-registry-1,1.91,5.32,417.3MiB / 7.653GiB,437570764,8217346179,31.9MB / 21MB,0B / 18.1MB,56
5,1776951219018,2026-04-23T13:33:39.018508+00:00,9f919b0315c7,docker-registry-1,0.69,5.32,417.3MiB / 7.653GiB,437570764,8217346179,32MB / 21MB,0B / 18.1MB,56
6,1776951226081,2026-04-23T13:33:46.081076+00:00,9f919b0315c7,docker-registry-1,0.71,5.32,417.3MiB / 7.653GiB,437570764,8217346179,32MB / 21MB,0B / 18.1MB,56
7,1776951233138,2026-04-23T13:33:53.138387+00:00,9f919b0315c7,docker-registry-1,0.60,5.33,417.5MiB / 7.653GiB,437780480,8217346179,32MB / 21.1MB,0B / 18.1MB,56
8,1776951240194,2026-04-23T13:34:00.194673+00:00,9f919b0315c7,docker-registry-1,1.22,5.32,417.3MiB / 7.653GiB,437570764,8217346179,32MB / 21.1MB,0B / 18.1MB,56
9,1776951247234,2026-04-23T13:34:07.234529+00:00,9f919b0315c7,docker-registry-1,1.15,5.32,417.3MiB / 7.653GiB,437570764,8217346179,32MB / 21.1MB,0B / 18.1MB,56
10,1776951254278,2026-04-23T13:34:14.278810+00:00,9f919b0315c7,docker-registry-1,0.77,5.32,417.3MiB / 7.653GiB,437570764,8217346179,32MB / 21.1MB,0B / 18.1MB,56
11,1776951261340,2026-04-23T13:34:21.340381+00:00,9f919b0315c7,docker-registry-1,1.42,5.33,417.7MiB / 7.653GiB,437990195,8217346179,32MB / 21.1MB,0B / 18.1MB,56
