sample_index,timestamp_ms,timestamp_utc,container_id,container_name,cpu_percent,mem_percent,mem_usage_raw,mem_used_bytes,mem_limit_bytes,net_io_raw,block_io_raw,pids
0,1776951183685,2026-04-23T13:33:03.685774+00:00,24025f462381,docker-webui-1,13.33,23.16,1.773GiB / 7.653GiB,1903744253,8217346179,1.05GB / 1.41GB,0B / 39.8MB,232
1,1776951190777,2026-04-23T13:33:10.777611+00:00,24025f462381,docker-webui-1,16.72,23.17,1.774GiB / 7.653GiB,1904817995,8217346179,1.05GB / 1.41GB,0B / 39.8MB,232
2,1776951197835,2026-04-23T13:33:17.835783+00:00,24025f462381,docker-webui-1,13.92,23.18,1.774GiB / 7.653GiB,1904817995,8217346179,1.06GB / 1.41GB,0B / 39.8MB,233
3,1776951204900,2026-04-23T13:33:24.900434+00:00,24025f462381,docker-webui-1,67.95,23.17,1.773GiB / 7.653GiB,1903744253,8217346179,1.06GB / 1.42GB,0B / 39.8MB,233
4,1776951211951,2026-04-23T13:33:31.951601+00:00,24025f462381,docker-webui-1,10.12,23.19,1.775GiB / 7.653GiB,1905891737,8217346179,1.06GB / 1.42GB,0B / 39.8MB,234
5,1776951219018,2026-04-23T13:33:39.018508+00:00,24025f462381,docker-webui-1,19.05,23.19,1.775GiB / 7.653GiB,1905891737,8217346179,1.07GB / 1.43GB,0B / 39.8MB,235
6,1776951226081,2026-04-23T13:33:46.081076+00:00,24025f462381,docker-webui-1,19.90,23.19,1.774GiB / 7.653GiB,1904817995,8217346179,1.07GB / 1.43GB,0B / 39.8MB,235
7,1776951233138,2026-04-23T13:33:53.138387+00:00,24025f462381,docker-webui-1,18.44,23.19,1.774GiB / 7.653GiB,1904817995,8217346179,1.08GB / 1.44GB,0B / 39.8MB,235
8,1776951240194,2026-04-23T13:34:00.194673+00:00,24025f462381,docker-webui-1,16.02,23.18,1.774GiB / 7.653GiB,1904817995,8217346179,1.08GB / 1.45GB,0B / 39.8MB,219
9,1776951247234,2026-04-23T13:34:07.234529+00:00,24025f462381,docker-webui-1,31.21,23.18,1.774GiB / 7.653GiB,1904817995,8217346179,1.09GB / 1.46GB,0B / 39.8MB,219
10,1776951254278,2026-04-23T13:34:14.278810+00:00,24025f462381,docker-webui-1,19.35,23.18,1.774GiB / 7.653GiB,1904817995,8217346179,1.1GB / 1.46GB,0B / 39.8MB,219
11,1776951261340,2026-04-23T13:34:21.340381+00:00,24025f462381,docker-webui-1,8.72,23.18,1.774GiB / 7.653GiB,1904817995,8217346179,1.1GB / 1.47GB,0B / 39.9MB,217
