window_index,start_ms,end_ms,samples,successes,failures,error_rate_pct,throughput_rps,success_avg_ms,success_min_ms,success_p95_ms,success_max_ms,failed_avg_ms,failed_min_ms,failed_p95_ms,failed_max_ms,all_avg_ms
0,1776951097800,1776951107800,84,84,0,0.00,8.40,1635.12,315,2869,6860,0.00,0,0,0,1635.12
1,1776951107800,1776951117800,167,167,0,0.00,16.70,837.72,37,2387,5014,0.00,0,0,0,837.72
2,1776951117800,1776951127800,169,169,0,0.00,16.90,902.64,164,2123,4231,0.00,0,0,0,902.64
3,1776951127800,1776951137800,173,173,0,0.00,17.30,915.02,33,2733,5661,0.00,0,0,0,915.02
4,1776951137800,1776951147800,266,266,0,0.00,26.60,511.27,42,1514,2766,0.00,0,0,0,511.27
5,1776951147800,1776951157800,373,373,0,0.00,37.30,410.18,40,921,1622,0.00,0,0,0,410.18
6,1776951157800,1776951167800,316,316,0,0.00,31.60,503.88,35,1134,2318,0.00,0,0,0,503.88
7,1776951167800,1776951177800,381,381,0,0.00,38.10,419.29,39,854,1411,0.00,0,0,0,419.29
8,1776951177800,1776951187800,307,307,0,0.00,30.70,566.43,91,1342,3633,0.00,0,0,0,566.43
9,1776951187800,1776951197800,112,112,0,0.00,11.20,1289.68,219,3664,5058,0.00,0,0,0,1289.68
10,1776951197800,1776951207800,150,150,0,0.00,15.00,1006.03,44,2675,7108,0.00,0,0,0,1006.03
11,1776951207800,1776951217800,300,300,0,0.00,30.00,525.95,65,1184,5189,0.00,0,0,0,525.95
12,1776951217800,1776951227800,238,238,0,0.00,23.80,652.71,52,1627,2537,0.00,0,0,0,652.71
13,1776951227800,1776951237800,305,305,0,0.00,30.50,536.78,68,1157,5585,0.00,0,0,0,536.78
14,1776951237800,1776951247800,399,399,0,0.00,39.90,402.97,31,977,1199,0.00,0,0,0,402.97
15,1776951247800,1776951257800,331,331,0,0.00,33.10,469.02,63,1242,3010,0.00,0,0,0,469.02
16,1776951257800,1776951267800,275,275,0,0.00,27.50,553.13,88,1193,1577,0.00,0,0,0,553.13
17,1776951267800,1776951277800,228,228,0,0.00,22.80,837.17,64,2609,7021,0.00,0,0,0,837.17
18,1776951277800,1776951287800,135,135,0,0.00,13.50,878.92,61,3121,8797,0.00,0,0,0,878.92
19,1776951287800,1776951297800,247,247,0,0.00,24.70,629.51,137,1191,2039,0.00,0,0,0,629.51
20,1776951297800,1776951307800,262,262,0,0.00,26.20,638.73,27,1426,4546,0.00,0,0,0,638.73
21,1776951307800,1776951317800,300,300,0,0.00,30.00,497.09,71,1189,2254,0.00,0,0,0,497.09
22,1776951317800,1776951327800,357,357,0,0.00,35.70,453.69,57,899,1380,0.00,0,0,0,453.69
23,1776951327800,1776951337800,207,207,0,0.00,20.70,803.72,34,2299,5724,0.00,0,0,0,803.72
24,1776951337800,1776951347800,155,155,0,0.00,15.50,945.37,135,2487,3748,0.00,0,0,0,945.37
25,1776951347800,1776951357800,292,292,0,0.00,29.20,532.36,31,1159,5140,0.00,0,0,0,532.36
26,1776951357800,1776951367800,299,299,0,0.00,29.90,537.55,56,1521,4393,0.00,0,0,0,537.55
27,1776951367800,1776951377800,255,255,0,0.00,25.50,585.94,67,1102,3947,0.00,0,0,0,585.94
28,1776951377800,1776951387800,360,360,0,0.00,36.00,444.29,63,967,1434,0.00,0,0,0,444.29
29,1776951387800,1776951397800,357,357,0,0.00,35.70,439.87,17,922,1268,0.00,0,0,0,439.87
31,1776951407800,1776951417800,74,74,0,0.00,7.40,1334.28,99,5334,5780,0.00,0,0,0,1334.28
32,1776951417800,1776951427800,252,252,0,0.00,25.20,570.50,88,1143,2497,0.00,0,0,0,570.50
33,1776951427800,1776951437800,281,281,0,0.00,28.10,555.81,56,1170,3950,0.00,0,0,0,555.81
34,1776951437800,1776951447800,294,294,0,0.00,29.40,566.79,78,1059,1441,0.00,0,0,0,566.79
35,1776951447800,1776951457800,250,250,0,0.00,25.00,655.95,64,1396,2773,0.00,0,0,0,655.95
36,1776951457800,1776951467800,245,245,0,0.00,24.50,577.35,102,1290,2805,0.00,0,0,0,577.35
37,1776951467800,1776951477800,278,278,0,0.00,27.80,559.73,64,1086,4096,0.00,0,0,0,559.73
38,1776951477800,1776951487800,267,267,0,0.00,26.70,587.85,115,1066,2188,0.00,0,0,0,587.85
39,1776951487800,1776951497800,334,334,0,0.00,33.40,491.01,63,1075,1443,0.00,0,0,0,491.01
40,1776951497800,1776951507800,309,309,0,0.00,30.90,527.25,80,1073,2031,0.00,0,0,0,527.25
41,1776951507800,1776951517800,245,245,0,0.00,24.50,620.44,46,1777,3117,0.00,0,0,0,620.44
42,1776951517800,1776951527800,303,303,0,0.00,30.30,506.77,57,1168,2853,0.00,0,0,0,506.77
43,1776951527800,1776951537800,424,424,0,0.00,42.40,438.55,25,1091,5106,0.00,0,0,0,438.55
44,1776951537800,1776951547800,263,263,0,0.00,26.30,488.07,132,1021,2046,0.00,0,0,0,488.07
45,1776951547800,1776951557800,284,284,0,0.00,28.40,574.12,63,1484,2941,0.00,0,0,0,574.12
46,1776951557800,1776951567800,231,231,0,0.00,23.10,705.06,78,1959,7975,0.00,0,0,0,705.06
47,1776951567800,1776951577800,231,231,0,0.00,23.10,627.35,87,1410,3081,0.00,0,0,0,627.35
48,1776951577800,1776951587800,287,287,0,0.00,28.70,552.39,104,1177,1716,0.00,0,0,0,552.39
49,1776951587800,1776951597800,215,215,0,0.00,21.50,812.64,79,3250,7239,0.00,0,0,0,812.64
50,1776951597800,1776951607800,129,129,0,0.00,12.90,1083.36,57,2676,5846,0.00,0,0,0,1083.36
51,1776951607800,1776951617800,208,208,0,0.00,20.80,751.81,43,1641,21951,0.00,0,0,0,751.81
52,1776951617800,1776951627800,341,341,0,0.00,34.10,407.74,32,814,1670,0.00,0,0,0,407.74
53,1776951627800,1776951637800,347,346,1,0.29,34.70,459.08,30,1041,3520,1.00,1,1,1,457.76
54,1776951637800,1776951647800,364,364,0,0.00,36.40,429.64,36,976,2213,0.00,0,0,0,429.64
55,1776951647800,1776951657800,247,247,0,0.00,24.70,630.78,65,1805,3239,0.00,0,0,0,630.78
56,1776951657800,1776951667800,120,120,0,0.00,12.00,1196.32,64,3855,8239,0.00,0,0,0,1196.32
57,1776951667800,1776951677800,165,165,0,0.00,16.50,915.83,55,2538,8942,0.00,0,0,0,915.83
58,1776951677800,1776951687800,118,118,0,0.00,11.80,1186.96,108,3800,6795,0.00,0,0,0,1186.96
59,1776951687800,1776951697800,143,143,0,0.00,14.30,893.23,102,3091,4681,0.00,0,0,0,893.23
60,1776951697800,1776951707800,297,297,0,0.00,29.70,511.64,89,1401,2499,0.00,0,0,0,511.64
61,1776951707800,1776951717800,119,119,0,0.00,11.90,430.97,152,766,1184,0.00,0,0,0,430.97
62,1776951717800,1776951727800,48,48,0,0.00,4.80,1174.27,59,3653,5927,0.00,0,0,0,1174.27
63,1776951727800,1776951737800,106,106,0,0.00,10.60,1165.73,146,3287,4897,0.00,0,0,0,1165.73
64,1776951737800,1776951747800,123,123,0,0.00,12.30,1268.85,220,3067,6613,0.00,0,0,0,1268.85
65,1776951747800,1776951757800,70,70,0,0.00,7.00,1802.19,269,6538,7757,0.00,0,0,0,1802.19
66,1776951757800,1776951767800,97,97,0,0.00,9.70,1636.80,539,3426,5369,0.00,0,0,0,1636.80
67,1776951767800,1776951777800,125,125,0,0.00,12.50,1097.02,60,2983,4577,0.00,0,0,0,1097.02
68,1776951777800,1776951787800,134,134,0,0.00,13.40,1163.93,330,2457,3531,0.00,0,0,0,1163.93
69,1776951787800,1776951797800,75,75,0,0.00,7.50,2030.81,510,5125,6264,0.00,0,0,0,2030.81
